(New) Chromatin State	(Old) Chromatin State
Active_TSS	Active_TSS
Genic_enhancers	Flanking_Active_TSS
Bivalent_Poised_TSS	Bivalent_Poised_TSS
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Repressed_PolyComb	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Bivalent_Enhancer
Enhancers	Enhancers
Flanking_Active_TSS	Repressed_PolyComb
Bivalent_Enhancer	Genic_enhancers
Strong_transcription	Weak_transcription
Flanking_Bivalent_TSS_Enh	Weak_Repressed_PolyComb
Heterochromatin	ZNF_genes_and_repeats
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
