(New) Cell Type	(Old) Cell Type
Colonic_Mucosa	Colonic_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Rectal_Mucosa.Donor_31
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Male
Sigmoid_Colon	Mobilized_CD34_Primary_Cells_Female
Left_Ventricle	Duodenum_Mucosa
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Muscle_Trunk
Right_Ventricle	Fetal_Adrenal_Gland
CD34_Cultured_Cells	Esophagus
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Muscle_Leg
Skeletal_Muscle_Male	Rectal_Mucosa.Donor_29
Fetal_Muscle_Trunk	HMEC_Mammary_Epithelial
Placenta_Amnion	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Adrenal_Gland	Duodenum_Smooth_Muscle
4star	Sigmoid_Colon
Muscle_Satellite_Cultured_Cells	Rectal_Smooth_Muscle
Skeletal_Muscle_Female	Adipose_Nuclei
IMR90_Cell_Line	Placenta_Amnion
Lung	Fetal_Intestine_Small
Esophagus	Fetal_Intestine_Large
H9_Derived_Neuron_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Thymus	Left_Ventricle
iPS_DF_19.11_Cell_Line	Colon_Smooth_Muscle
Brain_Germinal_Matrix	Small_Intestine
CD4pp_CD25__Th_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Stomach
Fetal_Thymus	CD34_Cultured_Cells
Brain_Hippocampus_Middle	Skeletal_Muscle_Female
CD3_Primary_Cells_Peripheral_UW	Psoas_Muscle
Fetal_Placenta	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHEK_Epidermal_Keratinocytes	HUES6_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Peripheral_Blood_Mononuclear_Primary_Cells
Stomach_Smooth_Muscle	Ovary
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Skeletal_Muscle_Male
Aorta	HUES64_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	Spleen
Adipose_Nuclei	CD4pp_CD25__Th_Primary_Cells
NH_A_Astrocytes	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Duodenum_Mucosa	HSMM_Skeletal_Muscle_Myoblasts
Ovary	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Muscle_Leg	Thymus
CD8_Naive_Primary_Cells	Lung
Stomach_Mucosa	Pancreatic_Islets
Fetal_Stomach	Fetal_Placenta
HMEC_Mammary_Epithelial	Stomach_Smooth_Muscle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD14_Primary_Cells	CD34_Primary_Cells
CD56_Primary_Cells	NHEK_Epidermal_Keratinocytes
Breast_Myoepithelial_Cells	Brain_Hippocampus_Middle
Spleen	NH_A_Astrocytes
H1_Derived_Mesenchymal_Stem_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
CD15_Primary_Cells	Adult_Liver
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Right_Ventricle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	iPS_18_Cell_Line
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	NHLF_Lung_Fibroblasts
HUVEC_Umbilical_Vein_Endothelial_Cells	Muscle_Satellite_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	iPS_20b_Cell_Line
CD19_Primary_Cells_Peripheral_UW	ES_I3_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
