(New) Cell Type	(Old) Cell Type
Colonic_Mucosa	Colonic_Mucosa
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Rectal_Mucosa.Donor_29
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Rectal_Mucosa.Donor_31
Fetal_Muscle_Leg	Duodenum_Mucosa
Brain_Anterior_Caudate	Sigmoid_Colon
Rectal_Smooth_Muscle	Duodenum_Smooth_Muscle
Esophagus	Stomach_Mucosa
Colon_Smooth_Muscle	Stomach_Smooth_Muscle
4star	Fetal_Intestine_Small
Stomach_Smooth_Muscle	Rectal_Smooth_Muscle
Skeletal_Muscle_Female	Fetal_Intestine_Large
Lung	Skeletal_Muscle_Male
Mobilized_CD34_Primary_Cells_Female	Small_Intestine
Adipose_Nuclei	Colon_Smooth_Muscle
Gastric	Adipose_Nuclei
Brain_Hippocampus_Middle	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Duodenum_Mucosa	Esophagus
Brain_Cingulate_Gyrus	Lung
iPS_15b_Cell_Line	HepG2_Hepatocellular_Carcinoma
Skeletal_Muscle_Male	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Ovary	Skeletal_Muscle_Female
Fetal_Muscle_Trunk	HSMM_Skeletal_Muscle_Myoblasts
Left_Ventricle	Right_Atrium
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Mid_Frontal_Lobe
CD34_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
Rectal_Mucosa.Donor_29	Gastric
Pancreas	Fetal_Stomach
Aorta	NHLF_Lung_Fibroblasts
H9_Cell_Line	Spleen
Rectal_Mucosa.Donor_31	Fetal_Placenta
Fetal_Lung	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
IMR90_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Sigmoid_Colon	Right_Ventricle
Fetal_Brain_Female	Pancreas
Fetal_Intestine_Large	Fetal_Muscle_Trunk
Right_Atrium	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HepG2_Hepatocellular_Carcinoma	NHEK_Epidermal_Keratinocytes
Adult_Liver	CD34_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Thymus
Stomach_Mucosa	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	Brain_Anterior_Caudate
H1_Cell_Line	Fetal_Thymus
Brain_Mid_Frontal_Lobe	Fetal_Muscle_Leg
Fetal_Placenta	Brain_Hippocampus_Middle
