(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Enhancers
Enhancers	Flanking_Active_TSS
Genic_enhancers	Weak_transcription
Flanking_Active_TSS	Transcr_at_gene_5_and_3
ZNF_genes_and_repeats	Genic_enhancers
Bivalent_Enhancer	Bivalent_Enhancer
Active_TSS	Active_TSS
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Repressed_PolyComb
Repressed_PolyComb	Weak_Repressed_PolyComb
Heterochromatin	Bivalent_Poised_TSS
Strong_transcription	Strong_transcription
Weak_transcription	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Quiescent_Low
Quiescent_Low	Heterochromatin
