(New) Cell Type	(Old) Cell Type
Dnd41_TCell_Leukemia	Dnd41_TCell_Leukemia
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Placenta_Amnion
GM12878_Lymphoblastoid	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Peripheral_Blood_Mononuclear_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4_Memory_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
iPS_20b_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD15_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Stomach_Mucosa	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Heart	CD4pp_CD25__Th_Primary_Cells
CD8_Memory_Primary_Cells	CD4_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	Stomach_Mucosa
CD4pp_CD25__Th_Primary_Cells	Right_Ventricle
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Small_Intestine
CD4_Memory_Primary_Cells	CD8_Memory_Primary_Cells
HUES48_Cell_Line	CD56_Primary_Cells
CD4_Naive_Primary_Cells	Osteoblasts
CD14_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_29
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD15_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	Rectal_Mucosa.Donor_31
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Muscle_Satellite_Cultured_Cells
CD3_Primary_Cells_Cord_BI	Colonic_Mucosa
HUES64_Cell_Line	Thymus
Fetal_Brain_Male	HepG2_Hepatocellular_Carcinoma
CD34_Cultured_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
K562_Leukemia	CD19_Primary_Cells_Peripheral_UW
CD8_Naive_Primary_Cells	Rectal_Smooth_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD3_Primary_Cells_Cord_BI
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
iPS_18_Cell_Line	NHLF_Lung_Fibroblasts
HepG2_Hepatocellular_Carcinoma	Sigmoid_Colon
Adult_Liver	CD19_Primary_Cells_Cord_BI
A549_EtOH_0.02pct_Lung_Carcinoma	NH_A_Astrocytes
CD34_Primary_Cells	Brain_Cingulate_Gyrus
Neurosphere_Cultured_Cells_Cortex_Derived	Colon_Smooth_Muscle
ES_WA7_Cell_Line	Fetal_Muscle_Trunk
Monocytes_CD14pp_RO01746	Brain_Angular_Gyrus
Breast_Myoepithelial_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Colon_Smooth_Muscle	Pancreas
Small_Intestine	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Thymus
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Duodenum_Mucosa
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
HUES6_Cell_Line	Brain_Mid_Frontal_Lobe
CD56_Primary_Cells	Skeletal_Muscle_Female
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Psoas_Muscle
Fetal_Brain_Female	Monocytes_CD14pp_RO01746
Osteoblasts	CD34_Cultured_Cells
HMEC_Mammary_Epithelial	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD34_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Anterior_Caudate
Skeletal_Muscle_Female	Brain_Substantia_Nigra
Rectal_Smooth_Muscle	Brain_Inferior_Temporal_Lobe
Fetal_Kidney	Fetal_Heart
Mobilized_CD34_Primary_Cells_Male	HSMM_Skeletal_Muscle_Myoblasts
HSMM_Skeletal_Muscle_Myoblasts	Brain_Hippocampus_Middle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Duodenum_Mucosa	Mobilized_CD34_Primary_Cells_Female
Skeletal_Muscle_Male	Ovary
HeLa_S3_Cervical_Carcinoma	Left_Ventricle
H1_Cell_Line	Aorta
Brain_Angular_Gyrus	Fetal_Lung
