(New) Chromatin State	(Old) Chromatin State
Heterochromatin	Quiescent_Low
Strong_transcription	Heterochromatin
Weak_transcription	ZNF_genes_and_repeats
Repressed_PolyComb	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Flanking_Bivalent_TSS_Enh
Weak_Repressed_PolyComb	Transcr_at_gene_5_and_3
Genic_enhancers	Repressed_PolyComb
Enhancers	Weak_Repressed_PolyComb
Active_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Weak_transcription
Flanking_Active_TSS	Genic_enhancers
Bivalent_Poised_TSS	Enhancers
Bivalent_Enhancer	Active_TSS
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Flanking_Active_TSS
