(New) Cell Type	(Old) Cell Type
Duodenum_Smooth_Muscle	Duodenum_Smooth_Muscle
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Lung	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HUES6_Cell_Line	Colon_Smooth_Muscle
Colon_Smooth_Muscle	Fetal_Stomach
Rectal_Smooth_Muscle	Rectal_Smooth_Muscle
iPS_20b_Cell_Line	Psoas_Muscle
Fetal_Brain_Male	Fetal_Kidney
Brain_Angular_Gyrus	Adipose_Nuclei
iPS_15b_Cell_Line	Fetal_Intestine_Large
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Adrenal_Gland
Brain_Cingulate_Gyrus	Fetal_Muscle_Leg
iPS_18_Cell_Line	Small_Intestine
Brain_Inferior_Temporal_Lobe	NHLF_Lung_Fibroblasts
NHLF_Lung_Fibroblasts	NHDF_Ad_Adult_Dermal_Fibroblasts
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Duodenum_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	Breast_vHMEC
Pancreas	Stomach_Smooth_Muscle
HUES48_Cell_Line	Brain_Mid_Frontal_Lobe
CD4_Memory_Primary_Cells	Fetal_Intestine_Small
iPS_DF_6.9_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Thymus	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H9_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Hippocampus_Middle	HSMM_Skeletal_Muscle_Myoblasts
HUES64_Cell_Line	HUES64_Cell_Line
Rectal_Mucosa.Donor_29	Aorta
Aorta	Left_Ventricle
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Lung
CD8_Memory_Primary_Cells	Breast_Myoepithelial_Cells
Small_Intestine	Brain_Angular_Gyrus
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Heart	Sigmoid_Colon
Brain_Substantia_Nigra	H9_Cell_Line
Fetal_Brain_Female	Pancreatic_Islets
Psoas_Muscle	H1_Cell_Line
