(New) Chromatin State	(Old) Chromatin State
Repressed_PolyComb	Repressed_PolyComb
Active_TSS	Bivalent_Enhancer
Heterochromatin	Weak_Repressed_PolyComb
Strong_transcription	Bivalent_Poised_TSS
Genic_enhancers	Flanking_Bivalent_TSS_Enh
ZNF_genes_and_repeats	Flanking_Active_TSS
Enhancers	Active_TSS
Transcr_at_gene_5_and_3	Enhancers
Weak_transcription	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Flanking_Active_TSS	Genic_enhancers
Weak_Repressed_PolyComb	Heterochromatin
Bivalent_Enhancer	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Quiescent_Low
