(New) Cell Type	(Old) Cell Type
ES_WA7_Cell_Line	ES_WA7_Cell_Line
CD3_Primary_Cells_Cord_BI	ES_I3_Cell_Line
H9_Cell_Line	HUES6_Cell_Line
Rectal_Mucosa.Donor_29	iPS_20b_Cell_Line
GM12878_Lymphoblastoid	HUES64_Cell_Line
HeLa_S3_Cervical_Carcinoma	HUES48_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	iPS_15b_Cell_Line
CD8_Memory_Primary_Cells	iPS_18_Cell_Line
Small_Intestine	H1_Cell_Line
Stomach_Smooth_Muscle	H9_Cell_Line
Psoas_Muscle	iPS_DF_6.9_Cell_Line
NHEK_Epidermal_Keratinocytes	4star
HepG2_Hepatocellular_Carcinoma	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Sigmoid_Colon	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
ES_I3_Cell_Line	iPS_DF_19.11_Cell_Line
Peripheral_Blood_Mononuclear_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
Aorta	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Duodenum_Smooth_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Adult_Liver	Right_Atrium
HUVEC_Umbilical_Vein_Endothelial_Cells	NH_A_Astrocytes
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Colonic_Mucosa
Muscle_Satellite_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Left_Ventricle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
H9_Derived_Neuron_Cultured_Cells	Stomach_Smooth_Muscle
Fetal_Brain_Female	H9_Derived_Neuron_Cultured_Cells
Osteoblasts	Duodenum_Smooth_Muscle
Fetal_Lung	NHLF_Lung_Fibroblasts
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
iPS_15b_Cell_Line	Fetal_Stomach
Fetal_Kidney	NHEK_Epidermal_Keratinocytes
Mobilized_CD34_Primary_Cells_Male	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Brain_Mid_Frontal_Lobe	IMR90_Cell_Line
CD34_Primary_Cells	Rectal_Smooth_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Mid_Frontal_Lobe
Fetal_Brain_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
K562_Leukemia	HepG2_Hepatocellular_Carcinoma
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Intestine_Small
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Duodenum_Mucosa	Rectal_Mucosa.Donor_29
Brain_Anterior_Caudate	Placenta_Amnion
Brain_Inferior_Temporal_Lobe	Neurosphere_Cultured_Cells_Cortex_Derived
A549_EtOH_0.02pct_Lung_Carcinoma	Osteoblasts
Ovary	Fetal_Kidney
NH_A_Astrocytes	Fetal_Muscle_Trunk
Mobilized_CD34_Primary_Cells_Female	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Muscle_Satellite_Cultured_Cells
Brain_Hippocampus_Middle	Skeletal_Muscle_Male
Rectal_Smooth_Muscle	Brain_Anterior_Caudate
Brain_Angular_Gyrus	Esophagus
Rectal_Mucosa.Donor_31	Duodenum_Mucosa
iPS_18_Cell_Line	Fetal_Placenta
Fetal_Heart	Fetal_Muscle_Leg
Brain_Substantia_Nigra	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
4star	Colon_Smooth_Muscle
Colon_Smooth_Muscle	Brain_Cingulate_Gyrus
Skeletal_Muscle_Female	NHDF_Ad_Adult_Dermal_Fibroblasts
Right_Atrium	Brain_Hippocampus_Middle
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Germinal_Matrix
HMEC_Mammary_Epithelial	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Lung
NHDF_Ad_Adult_Dermal_Fibroblasts	Right_Ventricle
Brain_Germinal_Matrix	Brain_Inferior_Temporal_Lobe
H1_Cell_Line	Fetal_Intestine_Large
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	K562_Leukemia
CD4_Naive_Primary_Cells	Breast_Myoepithelial_Cells
iPS_20b_Cell_Line	Skeletal_Muscle_Female
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Brain_Female
Brain_Cingulate_Gyrus	Adipose_Nuclei
NHLF_Lung_Fibroblasts	Fetal_Adrenal_Gland
Skeletal_Muscle_Male	Rectal_Mucosa.Donor_31
Adipose_Nuclei	Stomach_Mucosa
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Thymus
CD19_Primary_Cells_Cord_BI	Fetal_Lung
H1_Derived_Mesenchymal_Stem_Cells	Thymus
Pancreas	HMEC_Mammary_Epithelial
HUES6_Cell_Line	Brain_Angular_Gyrus
HUES64_Cell_Line	Left_Ventricle
Gastric	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD34_Cultured_Cells	Sigmoid_Colon
Thymus	Brain_Substantia_Nigra
Placenta_Amnion	Peripheral_Blood_Mononuclear_Primary_Cells
Colonic_Mucosa	CD34_Cultured_Cells
CD4_Memory_Primary_Cells	Spleen
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Breast_vHMEC
HUES48_Cell_Line	Gastric
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Muscle_Leg	CD3_Primary_Cells_Peripheral_UW
CD14_Primary_Cells	Aorta
iPS_DF_6.9_Cell_Line	Mobilized_CD34_Primary_Cells_Male
Monocytes_CD14pp_RO01746	GM12878_Lymphoblastoid
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Ovary
Right_Ventricle	Monocytes_CD14pp_RO01746
CD3_Primary_Cells_Peripheral_UW	Mobilized_CD34_Primary_Cells_Female
Esophagus	Small_Intestine
Fetal_Thymus	Psoas_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD3_Primary_Cells_Cord_BI
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD19_Primary_Cells_Peripheral_UW
Fetal_Adrenal_Gland	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Lung	Fetal_Brain_Male
Fetal_Muscle_Trunk	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
IMR90_Cell_Line	Pancreas
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD14_Primary_Cells
Pancreatic_Islets	CD56_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	Dnd41_TCell_Leukemia
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD15_Primary_Cells
Stomach_Mucosa	Fetal_Heart
Fetal_Intestine_Large	CD19_Primary_Cells_Cord_BI
CD56_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Breast_vHMEC	CD8_Memory_Primary_Cells
Fetal_Placenta	CD34_Primary_Cells
CD8_Naive_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
iPS_DF_19.11_Cell_Line	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Stomach	Pancreatic_Islets
Spleen	CD4_Naive_Primary_Cells
Breast_Myoepithelial_Cells	Adult_Liver
CD15_Primary_Cells	CD8_Naive_Primary_Cells
Fetal_Intestine_Small	CD4_Memory_Primary_Cells
Dnd41_TCell_Leukemia	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
