(New) Cell Type	(Old) Cell Type
Esophagus	Esophagus
Brain_Hippocampus_Middle	Ovary
Sigmoid_Colon	Spleen
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
CD56_Primary_Cells	Right_Ventricle
Skeletal_Muscle_Male	HMEC_Mammary_Epithelial
K562_Leukemia	Left_Ventricle
Stomach_Smooth_Muscle	Lung
Fetal_Placenta	Adult_Liver
4star	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Psoas_Muscle
Skeletal_Muscle_Female	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	Duodenum_Smooth_Muscle
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	iPS_DF_19.11_Cell_Line
Breast_Myoepithelial_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Hippocampus_Middle
Fetal_Stomach	Colonic_Mucosa
Right_Ventricle	Sigmoid_Colon
Fetal_Thymus	Adipose_Nuclei
CD34_Cultured_Cells	Colon_Smooth_Muscle
Left_Ventricle	Mobilized_CD34_Primary_Cells_Female
Colonic_Mucosa	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Substantia_Nigra
CD14_Primary_Cells	Stomach_Smooth_Muscle
Monocytes_CD14pp_RO01746	Brain_Anterior_Caudate
Fetal_Muscle_Trunk	Rectal_Smooth_Muscle
Muscle_Satellite_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__Th_Primary_Cells
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Male
Lung	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
