(New) Cell Type	(Old) Cell Type
Esophagus	Esophagus
Lung	Colonic_Mucosa
Fetal_Muscle_Leg	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Placenta	Right_Atrium
Colonic_Mucosa	Lung
Stomach_Mucosa	Rectal_Smooth_Muscle
Skeletal_Muscle_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
IMR90_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Fetal_Muscle_Trunk	NHEK_Epidermal_Keratinocytes
H1_Derived_Mesenchymal_Stem_Cells	Gastric
Gastric	Left_Ventricle
Brain_Anterior_Caudate	Stomach_Smooth_Muscle
Fetal_Intestine_Large	Right_Ventricle
Adipose_Nuclei	Breast_Myoepithelial_Cells
Stomach_Smooth_Muscle	Duodenum_Smooth_Muscle
Rectal_Smooth_Muscle	Rectal_Mucosa.Donor_29
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Duodenum_Mucosa
4star	Fetal_Intestine_Small
Duodenum_Mucosa	HSMM_Skeletal_Muscle_Myoblasts
Brain_Hippocampus_Middle	Brain_Mid_Frontal_Lobe
CD34_Cultured_Cells	Pancreas
Pancreas	Spleen
Brain_Cingulate_Gyrus	Fetal_Stomach
iPS_15b_Cell_Line	Skeletal_Muscle_Male
Thymus	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Left_Ventricle	Rectal_Mucosa.Donor_31
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Colon_Smooth_Muscle
Colon_Smooth_Muscle	Fetal_Muscle_Trunk
Fetal_Adrenal_Gland	Stomach_Mucosa
Spleen	NHLF_Lung_Fibroblasts
Fetal_Brain_Female	iPS_DF_6.9_Cell_Line
Rectal_Mucosa.Donor_31	IMR90_Cell_Line
Rectal_Mucosa.Donor_29	Fetal_Intestine_Large
Skeletal_Muscle_Male	Sigmoid_Colon
Brain_Germinal_Matrix	HMEC_Mammary_Epithelial
CD3_Primary_Cells_Peripheral_UW	Psoas_Muscle
H9_Cell_Line	Skeletal_Muscle_Female
Aorta	H9_Cell_Line
Sigmoid_Colon	Fetal_Placenta
H1_Cell_Line	HeLa_S3_Cervical_Carcinoma
Ovary	Thymus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	iPS_DF_19.11_Cell_Line
Fetal_Kidney	H1_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Muscle_Leg
