(New) Cell Type	(Old) Cell Type
Esophagus	Esophagus
Rectal_Mucosa.Donor_31	Pancreas
Brain_Cingulate_Gyrus	Lung
NH_A_Astrocytes	Gastric
iPS_DF_19.11_Cell_Line	Left_Ventricle
Lung	Right_Ventricle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Sigmoid_Colon
Rectal_Mucosa.Donor_29	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Placenta_Amnion
Brain_Inferior_Temporal_Lobe	H1_Derived_Mesenchymal_Stem_Cells
Brain_Mid_Frontal_Lobe	iPS_DF_6.9_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Psoas_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	Colonic_Mucosa
Fetal_Intestine_Large	Fetal_Placenta
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	Small_Intestine
Muscle_Satellite_Cultured_Cells	Right_Atrium
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Spleen
Right_Ventricle	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Anterior_Caudate	Fetal_Stomach
Rectal_Smooth_Muscle	Ovary
CD8_Naive_Primary_Cells	H9_Cell_Line
Colon_Smooth_Muscle	Rectal_Smooth_Muscle
GM12878_Lymphoblastoid	Stomach_Mucosa
Stomach_Smooth_Muscle	Fetal_Intestine_Large
Gastric	HSMM_Skeletal_Muscle_Myoblasts
Brain_Hippocampus_Middle	4star
Brain_Substantia_Nigra	HMEC_Mammary_Epithelial
Ovary	Fetal_Intestine_Small
Spleen	Breast_vHMEC
Small_Intestine	Adipose_Nuclei
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Colon_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Pancreatic_Islets
Left_Ventricle	Fetal_Muscle_Trunk
Adipose_Nuclei	Aorta
Peripheral_Blood_Mononuclear_Primary_Cells	Rectal_Mucosa.Donor_31
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	IMR90_Cell_Line
Colonic_Mucosa	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Mid_Frontal_Lobe
H1_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD34_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4_Naive_Primary_Cells	Fetal_Adrenal_Gland
Duodenum_Mucosa	Fetal_Kidney
IMR90_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD56_Primary_Cells
Fetal_Brain_Female	NHLF_Lung_Fibroblasts
Pancreas	iPS_DF_19.11_Cell_Line
CD4_Memory_Primary_Cells	Fetal_Thymus
Brain_Angular_Gyrus	Neurosphere_Cultured_Cells_Cortex_Derived
Right_Atrium	Duodenum_Smooth_Muscle
Adult_Liver	Thymus
NHEK_Epidermal_Keratinocytes	Brain_Angular_Gyrus
iPS_DF_6.9_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Placenta_Amnion	H1_Cell_Line
CD19_Primary_Cells_Cord_BI	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD8_Memory_Primary_Cells	Duodenum_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD19_Primary_Cells_Peripheral_UW
Breast_vHMEC	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Monocytes_CD14pp_RO01746	Brain_Substantia_Nigra
CD15_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
HMEC_Mammary_Epithelial	CD34_Primary_Cells
Brain_Germinal_Matrix	Rectal_Mucosa.Donor_29
Psoas_Muscle	CD8_Naive_Primary_Cells
NHLF_Lung_Fibroblasts	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Intestine_Small	CD14_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Thymus	Brain_Cingulate_Gyrus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Sigmoid_Colon	Brain_Anterior_Caudate
Osteoblasts	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	NHEK_Epidermal_Keratinocytes
Skeletal_Muscle_Female	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
CD56_Primary_Cells	Fetal_Lung
Fetal_Placenta	CD4_Memory_Primary_Cells
4star	CD8_Memory_Primary_Cells
Skeletal_Muscle_Male	CD4_Naive_Primary_Cells
CD34_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD3_Primary_Cells_Cord_BI	HUVEC_Umbilical_Vein_Endothelial_Cells
Breast_Myoepithelial_Cells	CD3_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Aorta	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HSMM_Skeletal_Muscle_Myoblasts	Brain_Hippocampus_Middle
Stomach_Mucosa	NH_A_Astrocytes
K562_Leukemia	ES_WA7_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD15_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Osteoblasts
A549_EtOH_0.02pct_Lung_Carcinoma	CD34_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Lung	Adult_Liver
Neurosphere_Cultured_Cells_Cortex_Derived	iPS_15b_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Fetal_Muscle_Trunk	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	HUES48_Cell_Line
Fetal_Stomach	Skeletal_Muscle_Female
Fetal_Thymus	Mobilized_CD34_Primary_Cells_Female
Mobilized_CD34_Primary_Cells_Male	CD19_Primary_Cells_Cord_BI
CD3_Primary_Cells_Peripheral_UW	Brain_Germinal_Matrix
CD14_Primary_Cells	Fetal_Brain_Female
Fetal_Heart	iPS_18_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	A549_EtOH_0.02pct_Lung_Carcinoma
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	HUES64_Cell_Line
Fetal_Brain_Male	H9_Derived_Neuron_Cultured_Cells
ES_WA7_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__Th_Primary_Cells	CD3_Primary_Cells_Cord_BI
Mobilized_CD34_Primary_Cells_Female	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HUES6_Cell_Line	Stomach_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	HUES6_Cell_Line
H9_Cell_Line	ES_I3_Cell_Line
HeLa_S3_Cervical_Carcinoma	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Fetal_Adrenal_Gland	Skeletal_Muscle_Male
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Fetal_Muscle_Leg	iPS_20b_Cell_Line
Dnd41_TCell_Leukemia	GM12878_Lymphoblastoid
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Brain_Male
Fetal_Kidney	Monocytes_CD14pp_RO01746
iPS_15b_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
ES_I3_Cell_Line	K562_Leukemia
iPS_20b_Cell_Line	Dnd41_TCell_Leukemia
iPS_18_Cell_Line	HeLa_S3_Cervical_Carcinoma
HUES48_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Pancreatic_Islets	Fetal_Heart
HUES64_Cell_Line	Mobilized_CD34_Primary_Cells_Male
