(New) Cell Type	(Old) Cell Type
Esophagus	Esophagus
Colonic_Mucosa	Colonic_Mucosa
Lung	Rectal_Smooth_Muscle
Peripheral_Blood_Mononuclear_Primary_Cells	Gastric
H1_Derived_Mesenchymal_Stem_Cells	Duodenum_Mucosa
Spleen	Placenta_Amnion
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Stomach_Mucosa
Fetal_Intestine_Small	Brain_Mid_Frontal_Lobe
Brain_Germinal_Matrix	Lung
Gastric	Stomach_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Rectal_Mucosa.Donor_29
Right_Ventricle	Pancreas
Pancreas	Adipose_Nuclei
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Right_Ventricle
Placenta_Amnion	Spleen
Fetal_Muscle_Trunk	Rectal_Mucosa.Donor_31
Stomach_Smooth_Muscle	Brain_Angular_Gyrus
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Brain_Anterior_Caudate
Thymus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Germinal_Matrix
Skeletal_Muscle_Male	Brain_Inferior_Temporal_Lobe
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
4star	Colon_Smooth_Muscle
Fetal_Adrenal_Gland	Skeletal_Muscle_Male
CD19_Primary_Cells_Peripheral_UW	Fetal_Placenta
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Placenta	Brain_Hippocampus_Middle
HepG2_Hepatocellular_Carcinoma	Skeletal_Muscle_Female
NHLF_Lung_Fibroblasts	Breast_Myoepithelial_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Duodenum_Smooth_Muscle
Brain_Mid_Frontal_Lobe	Fetal_Brain_Female
Fetal_Brain_Male	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD3_Primary_Cells_Peripheral_UW	Sigmoid_Colon
Duodenum_Mucosa	HMEC_Mammary_Epithelial
CD34_Primary_Cells	Fetal_Muscle_Trunk
Rectal_Mucosa.Donor_29	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Substantia_Nigra
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Intestine_Large
CD34_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Fetal_Brain_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD56_Primary_Cells	Fetal_Adrenal_Gland
Adipose_Nuclei	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Muscle_Leg	NHEK_Epidermal_Keratinocytes
iPS_15b_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Stomach_Mucosa	NHLF_Lung_Fibroblasts
IMR90_Cell_Line	iPS_15b_Cell_Line
Left_Ventricle	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Stomach	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Heart	Mobilized_CD34_Primary_Cells_Female
H1_Cell_Line	Small_Intestine
Brain_Cingulate_Gyrus	iPS_DF_6.9_Cell_Line
Monocytes_CD14pp_RO01746	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__Th_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Fetal_Thymus	Left_Ventricle
Brain_Anterior_Caudate	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Angular_Gyrus	4star
CD15_Primary_Cells	H1_Cell_Line
Brain_Inferior_Temporal_Lobe	Fetal_Muscle_Leg
CD14_Primary_Cells	HepG2_Hepatocellular_Carcinoma
Rectal_Mucosa.Donor_31	Thymus
Brain_Hippocampus_Middle	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD4_Memory_Primary_Cells
Psoas_Muscle	H9_Cell_Line
Adult_Liver	CD4pp_CD25__Th_Primary_Cells
Right_Atrium	Muscle_Satellite_Cultured_Cells
Rectal_Smooth_Muscle	CD34_Cultured_Cells
Fetal_Intestine_Large	CD8_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Fetal_Stomach
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Kidney
Aorta	CD14_Primary_Cells
Duodenum_Smooth_Muscle	iPS_DF_19.11_Cell_Line
Sigmoid_Colon	Monocytes_CD14pp_RO01746
Osteoblasts	Psoas_Muscle
CD3_Primary_Cells_Cord_BI	CD3_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Cortex_Derived	Osteoblasts
H9_Derived_Neuron_Cultured_Cells	CD3_Primary_Cells_Cord_BI
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	NH_A_Astrocytes
Dnd41_TCell_Leukemia	Fetal_Lung
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
HUES6_Cell_Line	HUES6_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	IMR90_Cell_Line
Breast_Myoepithelial_Cells	CD4_Naive_Primary_Cells
HMEC_Mammary_Epithelial	CD15_Primary_Cells
Colon_Smooth_Muscle	Adult_Liver
Brain_Substantia_Nigra	Fetal_Intestine_Small
CD4_Naive_Primary_Cells	Fetal_Thymus
CD8_Memory_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Ovary	Ovary
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
NH_A_Astrocytes	Fetal_Brain_Male
CD4_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
ES_WA7_Cell_Line	ES_I3_Cell_Line
Fetal_Lung	iPS_18_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Aorta
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Primary_Cells
GM12878_Lymphoblastoid	CD4pp_CD25pp_CD127__Treg_Primary_Cells
iPS_20b_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Pancreatic_Islets	HUES48_Cell_Line
HeLa_S3_Cervical_Carcinoma	iPS_20b_Cell_Line
Muscle_Satellite_Cultured_Cells	HUES64_Cell_Line
A549_EtOH_0.02pct_Lung_Carcinoma	A549_EtOH_0.02pct_Lung_Carcinoma
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_DF_6.9_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD19_Primary_Cells_Cord_BI
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD56_Primary_Cells
Fetal_Kidney	GM12878_Lymphoblastoid
CD8_Naive_Primary_Cells	K562_Leukemia
HSMM_Skeletal_Muscle_Myoblasts	Right_Atrium
iPS_18_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
K562_Leukemia	CD8_Naive_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Dnd41_TCell_Leukemia
NHDF_Ad_Adult_Dermal_Fibroblasts	CD19_Primary_Cells_Peripheral_UW
HUES48_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
ES_I3_Cell_Line	Breast_vHMEC
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Heart
Small_Intestine	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HUES64_Cell_Line	Pancreatic_Islets
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ES_WA7_Cell_Line
Breast_vHMEC	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
