(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	Genic_enhancers
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Enhancers	Strong_transcription
Flanking_Active_TSS	Weak_transcription
ZNF_genes_and_repeats	Enhancers
Active_TSS	Flanking_Active_TSS
Bivalent_Enhancer	Bivalent_Enhancer
Bivalent_Poised_TSS	Repressed_PolyComb
Repressed_PolyComb	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Active_TSS
Heterochromatin	Flanking_Bivalent_TSS_Enh
Strong_transcription	Bivalent_Poised_TSS
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
