(New) Cell Type	(Old) Cell Type
Fetal_Brain_Female	Fetal_Brain_Female
Brain_Germinal_Matrix	Colonic_Mucosa
Stomach_Smooth_Muscle	Fetal_Brain_Male
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Placenta_Amnion
IMR90_Cell_Line	Small_Intestine
Fetal_Muscle_Leg	Brain_Germinal_Matrix
Neurosphere_Cultured_Cells_Cortex_Derived	Brain_Mid_Frontal_Lobe
Thymus	Rectal_Smooth_Muscle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Angular_Gyrus
Fetal_Adrenal_Gland	iPS_DF_6.9_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Muscle_Trunk	Fetal_Kidney
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Substantia_Nigra
Skeletal_Muscle_Female	Brain_Cingulate_Gyrus
Skeletal_Muscle_Male	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Duodenum_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Colon_Smooth_Muscle
H1_Cell_Line	Brain_Inferior_Temporal_Lobe
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	iPS_15b_Cell_Line
4star	H9_Cell_Line
Fetal_Stomach	Esophagus
Sigmoid_Colon	Brain_Anterior_Caudate
Osteoblasts	NHLF_Lung_Fibroblasts
Adipose_Nuclei	Brain_Hippocampus_Middle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Right_Ventricle
Mobilized_CD34_Primary_Cells_Male	Psoas_Muscle
Monocytes_CD14pp_RO01746	Gastric
Brain_Hippocampus_Middle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
H9_Cell_Line	Spleen
Muscle_Satellite_Cultured_Cells	Lung
GM12878_Lymphoblastoid	Aorta
HMEC_Mammary_Epithelial	Fetal_Heart
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Ovary
Fetal_Lung	Pancreas
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	ES_I3_Cell_Line
CD3_Primary_Cells_Cord_BI	H1_Derived_Mesenchymal_Stem_Cells
Rectal_Mucosa.Donor_31	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Left_Ventricle
Fetal_Intestine_Large	iPS_DF_19.11_Cell_Line
Fetal_Placenta	CD8_Memory_Primary_Cells
iPS_DF_19.11_Cell_Line	Skeletal_Muscle_Male
Duodenum_Mucosa	Fetal_Adrenal_Gland
HUES6_Cell_Line	Fetal_Muscle_Trunk
Peripheral_Blood_Mononuclear_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD8_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Brain_Anterior_Caudate	Pancreatic_Islets
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
Fetal_Intestine_Small	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Breast_Myoepithelial_Cells	Stomach_Smooth_Muscle
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Smooth_Muscle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Memory_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Adipose_Nuclei
CD14_Primary_Cells	Skeletal_Muscle_Female
HUVEC_Umbilical_Vein_Endothelial_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
