(New) Chromatin State	(Old) Chromatin State
Bivalent_Enhancer	Flanking_Bivalent_TSS_Enh
Bivalent_Poised_TSS	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Bivalent_Poised_TSS
Active_TSS	Repressed_PolyComb
ZNF_genes_and_repeats	Active_TSS
Repressed_PolyComb	Flanking_Active_TSS
Flanking_Active_TSS	Weak_Repressed_PolyComb
Genic_enhancers	Enhancers
Flanking_Bivalent_TSS_Enh	Transcr_at_gene_5_and_3
Enhancers	Genic_enhancers
Heterochromatin	ZNF_genes_and_repeats
Strong_transcription	Weak_transcription
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Quiescent_Low
