(New) Cell Type	(Old) Cell Type
Fetal_Brain_Male	Fetal_Brain_Male
Skeletal_Muscle_Female	Fetal_Brain_Female
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Germinal_Matrix
CD34_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD19_Primary_Cells_Cord_BI	H9_Derived_Neuronal_Progenitor_Cultured_Cells
IMR90_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
iPS_15b_Cell_Line	Brain_Mid_Frontal_Lobe
Colon_Smooth_Muscle	Neurosphere_Cultured_Cells_Cortex_Derived
Skeletal_Muscle_Male	Fetal_Stomach
Stomach_Mucosa	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	Brain_Inferior_Temporal_Lobe
Monocytes_CD14pp_RO01746	Brain_Cingulate_Gyrus
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Muscle_Trunk
Fetal_Stomach	Brain_Anterior_Caudate
Adipose_Nuclei	Brain_Angular_Gyrus
H9_Derived_Neuron_Cultured_Cells	Fetal_Intestine_Small
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Muscle_Leg
HUES6_Cell_Line	HUES64_Cell_Line
Muscle_Satellite_Cultured_Cells	Fetal_Adrenal_Gland
NHEK_Epidermal_Keratinocytes	Duodenum_Smooth_Muscle
Brain_Hippocampus_Middle	NHLF_Lung_Fibroblasts
K562_Leukemia	Brain_Hippocampus_Middle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_Cell_Line
CD8_Memory_Primary_Cells	IMR90_Cell_Line
HMEC_Mammary_Epithelial	Rectal_Smooth_Muscle
GM12878_Lymphoblastoid	Fetal_Lung
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HUES48_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H9_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
H1_Cell_Line	Stomach_Smooth_Muscle
Placenta_Amnion	Fetal_Intestine_Large
CD4_Naive_Primary_Cells	Psoas_Muscle
Rectal_Mucosa.Donor_31	Fetal_Kidney
Peripheral_Blood_Mononuclear_Primary_Cells	Colon_Smooth_Muscle
iPS_DF_19.11_Cell_Line	Breast_Myoepithelial_Cells
CD8_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_18_Cell_Line
4star	Brain_Substantia_Nigra
CD3_Primary_Cells_Peripheral_UW	iPS_15b_Cell_Line
Pancreatic_Islets	HSMM_Skeletal_Muscle_Myoblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Dnd41_TCell_Leukemia
Fetal_Adrenal_Gland	iPS_20b_Cell_Line
NH_A_Astrocytes	Colonic_Mucosa
CD14_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Rectal_Smooth_Muscle	HUES6_Cell_Line
Fetal_Thymus	ES_I3_Cell_Line
Adult_Liver	Fetal_Thymus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Right_Ventricle
Osteoblasts	Thymus
