(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Genic_enhancers
Enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Active_TSS
Genic_enhancers	Enhancers
Bivalent_Enhancer	Strong_transcription
Repressed_PolyComb	Weak_transcription
Flanking_Bivalent_TSS_Enh	ZNF_genes_and_repeats
Active_TSS	Repressed_PolyComb
Bivalent_Poised_TSS	Bivalent_Enhancer
Heterochromatin	Flanking_Bivalent_TSS_Enh
Strong_transcription	Bivalent_Poised_TSS
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
