(New) Cell Type	(Old) Cell Type
Fetal_Brain_Male	Fetal_Brain_Male
Esophagus	Fetal_Muscle_Leg
Gastric	Fetal_Muscle_Trunk
iPS_DF_6.9_Cell_Line	Fetal_Adrenal_Gland
Colonic_Mucosa	Fetal_Lung
CD15_Primary_Cells	Fetal_Intestine_Large
ES_WA7_Cell_Line	CD34_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Left_Ventricle
Pancreas	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__Th_Primary_Cells	Stomach_Smooth_Muscle
CD14_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Right_Ventricle	Adipose_Nuclei
CD8_Memory_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD56_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Duodenum_Smooth_Muscle
Fetal_Kidney	Neurosphere_Cultured_Cells_Cortex_Derived
Dnd41_TCell_Leukemia	H9_Derived_Neuron_Cultured_Cells
Monocytes_CD14pp_RO01746	Sigmoid_Colon
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H9_Derived_Neuron_Cultured_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES64_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Stomach_Mucosa	Rectal_Mucosa.Donor_29
Placenta_Amnion	Fetal_Brain_Female
CD3_Primary_Cells_Peripheral_UW	Brain_Anterior_Caudate
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Mucosa
Psoas_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	CD34_Cultured_Cells
Fetal_Thymus	Brain_Inferior_Temporal_Lobe
HUES48_Cell_Line	Osteoblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Hippocampus_Middle
Mobilized_CD34_Primary_Cells_Female	Skeletal_Muscle_Female
Rectal_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Rectal_Mucosa.Donor_31
Pancreatic_Islets	Brain_Germinal_Matrix
Brain_Mid_Frontal_Lobe	Muscle_Satellite_Cultured_Cells
Mobilized_CD34_Primary_Cells_Male	NHEK_Epidermal_Keratinocytes
iPS_20b_Cell_Line	Thymus
H9_Cell_Line	GM12878_Lymphoblastoid
Lung	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD4_Naive_Primary_Cells	Skeletal_Muscle_Male
HUES6_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Muscle_Trunk	Fetal_Placenta
HUVEC_Umbilical_Vein_Endothelial_Cells	Brain_Cingulate_Gyrus
Fetal_Placenta	Adult_Liver
Thymus	HepG2_Hepatocellular_Carcinoma
HeLa_S3_Cervical_Carcinoma	Brain_Angular_Gyrus
IMR90_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Spleen	Brain_Mid_Frontal_Lobe
CD34_Cultured_Cells	4star
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NHLF_Lung_Fibroblasts
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Mobilized_CD34_Primary_Cells_Female
Brain_Angular_Gyrus	NH_A_Astrocytes
Fetal_Adrenal_Gland	Fetal_Kidney
Rectal_Mucosa.Donor_29	CD3_Primary_Cells_Peripheral_UW
CD4_Memory_Primary_Cells	Dnd41_TCell_Leukemia
Fetal_Brain_Female	CD19_Primary_Cells_Peripheral_UW
CD8_Naive_Primary_Cells	Rectal_Smooth_Muscle
H1_Derived_Mesenchymal_Stem_Cells	Brain_Substantia_Nigra
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HUES6_Cell_Line
HepG2_Hepatocellular_Carcinoma	Colon_Smooth_Muscle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Thymus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Small_Intestine	HMEC_Mammary_Epithelial
Breast_Myoepithelial_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Right_Atrium	iPS_20b_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HUES64_Cell_Line
Brain_Germinal_Matrix	CD56_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	K562_Leukemia
Aorta	HeLa_S3_Cervical_Carcinoma
iPS_18_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Ovary
Fetal_Stomach	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
ES_I3_Cell_Line	Colonic_Mucosa
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD8_Naive_Primary_Cells
iPS_15b_Cell_Line	HUES48_Cell_Line
Stomach_Smooth_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4pp_CD25__Th_Primary_Cells
4star	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	CD8_Memory_Primary_Cells
Adult_Liver	Monocytes_CD14pp_RO01746
Fetal_Muscle_Leg	iPS_18_Cell_Line
Fetal_Lung	CD4_Memory_Primary_Cells
Sigmoid_Colon	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Naive_Primary_Cells
Ovary	Lung
Duodenum_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Intestine_Large	H1_Cell_Line
Colon_Smooth_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Duodenum_Mucosa	CD15_Primary_Cells
Fetal_Heart	Small_Intestine
Rectal_Mucosa.Donor_31	IMR90_Cell_Line
NHLF_Lung_Fibroblasts	Right_Ventricle
H1_Cell_Line	Pancreas
Brain_Cingulate_Gyrus	Psoas_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	CD14_Primary_Cells
CD34_Primary_Cells	Breast_Myoepithelial_Cells
CD19_Primary_Cells_Cord_BI	A549_EtOH_0.02pct_Lung_Carcinoma
Breast_vHMEC	CD19_Primary_Cells_Cord_BI
CD3_Primary_Cells_Cord_BI	Mobilized_CD34_Primary_Cells_Male
Brain_Inferior_Temporal_Lobe	Spleen
Skeletal_Muscle_Male	CD3_Primary_Cells_Cord_BI
Fetal_Intestine_Small	H9_Cell_Line
HMEC_Mammary_Epithelial	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Gastric
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	ES_I3_Cell_Line
NH_A_Astrocytes	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Esophagus
NHEK_Epidermal_Keratinocytes	Breast_vHMEC
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Placenta_Amnion
Brain_Substantia_Nigra	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Anterior_Caudate	Fetal_Stomach
Adipose_Nuclei	Aorta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Muscle_Satellite_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Skeletal_Muscle_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HSMM_Skeletal_Muscle_Myoblasts	iPS_15b_Cell_Line
Brain_Hippocampus_Middle	Fetal_Intestine_Small
Osteoblasts	Pancreatic_Islets
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Fetal_Heart
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_DF_6.9_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	Stomach_Mucosa
K562_Leukemia	iPS_DF_19.11_Cell_Line
Left_Ventricle	ES_WA7_Cell_Line
iPS_DF_19.11_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
GM12878_Lymphoblastoid	Right_Atrium
