(New) Cell Type	(Old) Cell Type
Fetal_Heart	Fetal_Heart
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Cortex_Derived
Skeletal_Muscle_Male	CD34_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD4pp_CD25__Th_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD19_Primary_Cells_Cord_BI
Psoas_Muscle	HUVEC_Umbilical_Vein_Endothelial_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD34_Cultured_Cells
Lung	Skeletal_Muscle_Female
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Adipose_Nuclei
Colonic_Mucosa	Adult_Liver
Brain_Germinal_Matrix	Mobilized_CD34_Primary_Cells_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD19_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Adrenal_Gland
4star	CD14_Primary_Cells
Right_Ventricle	Mobilized_CD34_Primary_Cells_Male
Esophagus	Right_Atrium
Fetal_Muscle_Trunk	CD56_Primary_Cells
CD3_Primary_Cells_Peripheral_UW	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Placenta_Amnion	CD15_Primary_Cells
Spleen	Placenta_Amnion
Osteoblasts	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Intestine_Small	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Small_Intestine
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Rectal_Mucosa.Donor_29	Fetal_Muscle_Leg
Fetal_Placenta	H9_Derived_Neuron_Cultured_Cells
Adult_Liver	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_15b_Cell_Line	Left_Ventricle
iPS_DF_19.11_Cell_Line	Fetal_Muscle_Trunk
Stomach_Smooth_Muscle	Breast_vHMEC
Thymus	Right_Ventricle
Right_Atrium	Fetal_Stomach
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Dnd41_TCell_Leukemia
Rectal_Mucosa.Donor_31	Sigmoid_Colon
Fetal_Brain_Female	CD8_Naive_Primary_Cells
Fetal_Thymus	Stomach_Mucosa
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Placenta
Brain_Hippocampus_Middle	Fetal_Lung
Brain_Inferior_Temporal_Lobe	NH_A_Astrocytes
Peripheral_Blood_Mononuclear_Primary_Cells	Lung
Fetal_Stomach	Rectal_Mucosa.Donor_31
Brain_Anterior_Caudate	Fetal_Thymus
CD56_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD15_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Monocytes_CD14pp_RO01746	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4_Memory_Primary_Cells
Brain_Cingulate_Gyrus	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
NH_A_Astrocytes	Brain_Germinal_Matrix
HMEC_Mammary_Epithelial	iPS_DF_19.11_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Skeletal_Muscle_Female	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Rectal_Smooth_Muscle	Pancreas
HepG2_Hepatocellular_Carcinoma	Esophagus
