(New) Cell Type	(Old) Cell Type
Fetal_Intestine_Large	Fetal_Intestine_Large
CD56_Primary_Cells	Duodenum_Mucosa
Breast_Myoepithelial_Cells	Fetal_Intestine_Small
NHLF_Lung_Fibroblasts	Rectal_Mucosa.Donor_29
Fetal_Thymus	Colonic_Mucosa
IMR90_Cell_Line	Rectal_Mucosa.Donor_31
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Rectal_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Placenta	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Muscle_Leg	HepG2_Hepatocellular_Carcinoma
Skeletal_Muscle_Female	Psoas_Muscle
Fetal_Intestine_Small	Brain_Mid_Frontal_Lobe
Adipose_Nuclei	Brain_Germinal_Matrix
CD4_Memory_Primary_Cells	Small_Intestine
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Brain_Female
Fetal_Adrenal_Gland	Sigmoid_Colon
CD34_Cultured_Cells	Stomach_Mucosa
CD3_Primary_Cells_Peripheral_UW	Colon_Smooth_Muscle
4star	Stomach_Smooth_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	Adipose_Nuclei
CD4_Naive_Primary_Cells	Duodenum_Smooth_Muscle
CD15_Primary_Cells	Breast_Myoepithelial_Cells
CD14_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD8_Naive_Primary_Cells	HMEC_Mammary_Epithelial
H1_Cell_Line	Fetal_Kidney
Brain_Hippocampus_Middle	NHLF_Lung_Fibroblasts
Fetal_Stomach	NH_A_Astrocytes
Stomach_Mucosa	HeLa_S3_Cervical_Carcinoma
Mobilized_CD34_Primary_Cells_Male	Fetal_Adrenal_Gland
Skeletal_Muscle_Male	Placenta_Amnion
HMEC_Mammary_Epithelial	Brain_Anterior_Caudate
NHEK_Epidermal_Keratinocytes	Mobilized_CD34_Primary_Cells_Female
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Osteoblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Cingulate_Gyrus
Brain_Cingulate_Gyrus	Brain_Angular_Gyrus
Mobilized_CD34_Primary_Cells_Female	Adult_Liver
Dnd41_TCell_Leukemia	Right_Ventricle
Colon_Smooth_Muscle	Brain_Inferior_Temporal_Lobe
Thymus	Brain_Hippocampus_Middle
GM12878_Lymphoblastoid	iPS_15b_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Esophagus
Adult_Liver	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
iPS_DF_19.11_Cell_Line	Pancreas
CD19_Primary_Cells_Cord_BI	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Monocytes_CD14pp_RO01746	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Stomach_Smooth_Muscle	H1_Cell_Line
CD8_Memory_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Gastric
CD19_Primary_Cells_Peripheral_UW	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Muscle_Satellite_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Brain_Germinal_Matrix	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
HepG2_Hepatocellular_Carcinoma	Mobilized_CD34_Primary_Cells_Male
Fetal_Brain_Male	Muscle_Satellite_Cultured_Cells
HUES6_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Anterior_Caudate	Fetal_Placenta
iPS_15b_Cell_Line	Fetal_Lung
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD34_Cultured_Cells
Duodenum_Mucosa	H9_Derived_Neuron_Cultured_Cells
K562_Leukemia	iPS_18_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Fetal_Muscle_Trunk
Peripheral_Blood_Mononuclear_Primary_Cells	H9_Cell_Line
Colonic_Mucosa	Skeletal_Muscle_Female
Fetal_Muscle_Trunk	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4pp_CD25__Th_Primary_Cells	Lung
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	HUES64_Cell_Line
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HSMM_Skeletal_Muscle_Myoblasts	NHEK_Epidermal_Keratinocytes
CD34_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Brain_Male
CD3_Primary_Cells_Cord_BI	HUES6_Cell_Line
Rectal_Mucosa.Donor_31	HUES48_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Skeletal_Muscle_Male
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
