(New) Cell Type	(Old) Cell Type
Fetal_Kidney	Fetal_Kidney
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Colon_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Heart	Skeletal_Muscle_Female
CD4pp_CD25__Th_Primary_Cells	Rectal_Smooth_Muscle
CD34_Primary_Cells	CD4_Memory_Primary_Cells
iPS_18_Cell_Line	Stomach_Mucosa
CD8_Naive_Primary_Cells	CD8_Memory_Primary_Cells
CD3_Primary_Cells_Cord_BI	Pancreas
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Substantia_Nigra
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4_Naive_Primary_Cells
Duodenum_Smooth_Muscle	Placenta_Amnion
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Angular_Gyrus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Heart
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Muscle_Satellite_Cultured_Cells
CD19_Primary_Cells_Cord_BI	Brain_Mid_Frontal_Lobe
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Hippocampus_Middle
CD4_Memory_Primary_Cells	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Lung
HepG2_Hepatocellular_Carcinoma	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Brain_Anterior_Caudate
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Right_Ventricle
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_29
GM12878_Lymphoblastoid	Fetal_Brain_Male
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_31
K562_Leukemia	Psoas_Muscle
CD4_Naive_Primary_Cells	Left_Ventricle
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Naive_Primary_Cells
