(New) Cell Type	(Old) Cell Type
Fetal_Kidney	HUVEC_Umbilical_Vein_Endothelial_Cells
CD8_Naive_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Colon_Smooth_Muscle	Breast_Myoepithelial_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Fetal_Intestine_Small
Rectal_Mucosa.Donor_29	Mobilized_CD34_Primary_Cells_Male
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	Fetal_Placenta
Right_Ventricle	HepG2_Hepatocellular_Carcinoma
Gastric	Fetal_Kidney
ES_WA7_Cell_Line	Adult_Liver
Thymus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	CD56_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Angular_Gyrus	Fetal_Muscle_Leg
Small_Intestine	Adipose_Nuclei
HeLa_S3_Cervical_Carcinoma	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Smooth_Muscle	HUES64_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Monocytes_CD14pp_RO01746
Stomach_Mucosa	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Heart	Duodenum_Mucosa
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25__Th_Primary_Cells	Fetal_Adrenal_Gland
Fetal_Brain_Male	CD15_Primary_Cells
Rectal_Mucosa.Donor_31	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Ovary	Brain_Anterior_Caudate
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Hippocampus_Middle
Placenta_Amnion	iPS_20b_Cell_Line
CD8_Memory_Primary_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Colonic_Mucosa	Psoas_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Fetal_Brain_Female
Duodenum_Smooth_Muscle	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4_Memory_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Skeletal_Muscle_Male	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	CD3_Primary_Cells_Cord_BI
Brain_Cingulate_Gyrus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
CD3_Primary_Cells_Cord_BI	Left_Ventricle
CD3_Primary_Cells_Peripheral_UW	CD19_Primary_Cells_Peripheral_UW
Brain_Germinal_Matrix	Brain_Germinal_Matrix
Brain_Substantia_Nigra	Brain_Substantia_Nigra
Skeletal_Muscle_Female	Brain_Mid_Frontal_Lobe
H1_Derived_Neuronal_Progenitor_Cultured_Cells	4star
CD4_Naive_Primary_Cells	Brain_Cingulate_Gyrus
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Inferior_Temporal_Lobe
Brain_Inferior_Temporal_Lobe	CD3_Primary_Cells_Peripheral_UW
CD15_Primary_Cells	Pancreatic_Islets
Fetal_Thymus	CD4pp_CD25__Th_Primary_Cells
Dnd41_TCell_Leukemia	Brain_Angular_Gyrus
H9_Cell_Line	Dnd41_TCell_Leukemia
Fetal_Brain_Female	Breast_vHMEC
Fetal_Muscle_Trunk	Fetal_Muscle_Trunk
K562_Leukemia	Sigmoid_Colon
CD19_Primary_Cells_Peripheral_UW	Fetal_Lung
NHLF_Lung_Fibroblasts	Pancreas
A549_EtOH_0.02pct_Lung_Carcinoma	CD19_Primary_Cells_Cord_BI
Psoas_Muscle	Aorta
Right_Atrium	CD34_Primary_Cells
Sigmoid_Colon	CD34_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Stomach_Smooth_Muscle	Mobilized_CD34_Primary_Cells_Female
NH_A_Astrocytes	Fetal_Stomach
Spleen	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	NHEK_Epidermal_Keratinocytes
Pancreatic_Islets	H1_Cell_Line
CD56_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Anterior_Caudate	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Monocytes_CD14pp_RO01746	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD34_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Lung	CD4_Memory_Primary_Cells
Duodenum_Mucosa	Fetal_Intestine_Large
HSMM_Skeletal_Muscle_Myoblasts	Esophagus
Adult_Liver	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Hippocampus_Middle	CD4_Naive_Primary_Cells
CD34_Cultured_Cells	Colonic_Mucosa
Osteoblasts	HMEC_Mammary_Epithelial
Esophagus	CD8_Naive_Primary_Cells
Fetal_Intestine_Large	Neurosphere_Cultured_Cells_Cortex_Derived
iPS_DF_19.11_Cell_Line	Fetal_Brain_Male
iPS_15b_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
H1_Cell_Line	Right_Ventricle
HUES48_Cell_Line	HUES48_Cell_Line
HepG2_Hepatocellular_Carcinoma	Rectal_Mucosa.Donor_31
HUVEC_Umbilical_Vein_Endothelial_Cells	CD8_Memory_Primary_Cells
Left_Ventricle	ES_I3_Cell_Line
Muscle_Satellite_Cultured_Cells	CD14_Primary_Cells
Mobilized_CD34_Primary_Cells_Female	Colon_Smooth_Muscle
iPS_20b_Cell_Line	Muscle_Satellite_Cultured_Cells
iPS_18_Cell_Line	Gastric
GM12878_Lymphoblastoid	Rectal_Mucosa.Donor_29
HMEC_Mammary_Epithelial	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Pancreas	Osteoblasts
