(New) Cell Type	(Old) Cell Type
Fetal_Lung	Fetal_Lung
HMEC_Mammary_Epithelial	Small_Intestine
Muscle_Satellite_Cultured_Cells	Fetal_Brain_Male
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Kidney
CD4_Naive_Primary_Cells	Rectal_Smooth_Muscle
GM12878_Lymphoblastoid	Colon_Smooth_Muscle
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
NH_A_Astrocytes	Brain_Angular_Gyrus
NHEK_Epidermal_Keratinocytes	Brain_Substantia_Nigra
HSMM_Skeletal_Muscle_Myoblasts	Psoas_Muscle
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Cingulate_Gyrus
K562_Leukemia	Esophagus
HepG2_Hepatocellular_Carcinoma	H1_Derived_Neuronal_Progenitor_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Heart
H1_Derived_Mesenchymal_Stem_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Brain_Hippocampus_Middle	Right_Ventricle
IMR90_Cell_Line	Brain_Inferior_Temporal_Lobe
Left_Ventricle	Brain_Hippocampus_Middle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Aorta
Monocytes_CD14pp_RO01746	Ovary
A549_EtOH_0.02pct_Lung_Carcinoma	Gastric
Brain_Anterior_Caudate	Left_Ventricle
Osteoblasts	Pancreas
Colon_Smooth_Muscle	Placenta_Amnion
Duodenum_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Anterior_Caudate
Skeletal_Muscle_Female	Colonic_Mucosa
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Lung
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NHLF_Lung_Fibroblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	ES_I3_Cell_Line
Sigmoid_Colon	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HUES64_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Placenta
Skeletal_Muscle_Male	CD14_Primary_Cells
Fetal_Muscle_Leg	HUES48_Cell_Line
HeLa_S3_Cervical_Carcinoma	Fetal_Adrenal_Gland
HUES6_Cell_Line	CD8_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Female	CD15_Primary_Cells
CD19_Primary_Cells_Cord_BI	iPS_20b_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Duodenum_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Adipose_Nuclei
Stomach_Smooth_Muscle	CD4pp_CD25__Th_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Trunk
Neurosphere_Cultured_Cells_Cortex_Derived	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD8_Naive_Primary_Cells
CD8_Naive_Primary_Cells	iPS_18_Cell_Line
Brain_Germinal_Matrix	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
H1_Cell_Line	NH_A_Astrocytes
Fetal_Placenta	Mobilized_CD34_Primary_Cells_Female
Breast_Myoepithelial_Cells	CD4_Memory_Primary_Cells
CD14_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Skeletal_Muscle_Female
Duodenum_Mucosa	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Adrenal_Gland	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Cingulate_Gyrus	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Mucosa.Donor_29
Mobilized_CD34_Primary_Cells_Female	Monocytes_CD14pp_RO01746
H9_Cell_Line	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Osteoblasts
Ovary	HUES6_Cell_Line
CD3_Primary_Cells_Cord_BI	Duodenum_Mucosa
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Spleen
Adipose_Nuclei	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
