(New) Cell Type	(Old) Cell Type
Fetal_Muscle_Leg	Fetal_Muscle_Leg
Fetal_Thymus	CD56_Primary_Cells
Fetal_Lung	Fetal_Adrenal_Gland
HeLa_S3_Cervical_Carcinoma	Peripheral_Blood_Mononuclear_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD19_Primary_Cells_Peripheral_UW
Muscle_Satellite_Cultured_Cells	CD14_Primary_Cells
CD8_Memory_Primary_Cells	CD3_Primary_Cells_Peripheral_UW
Fetal_Adrenal_Gland	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Substantia_Nigra	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Rectal_Smooth_Muscle	CD34_Primary_Cells
Brain_Cingulate_Gyrus	CD4pp_CD25__Th_Primary_Cells
Right_Ventricle	Mobilized_CD34_Primary_Cells_Female
H9_Derived_Neuron_Cultured_Cells	CD34_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD19_Primary_Cells_Cord_BI
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Skeletal_Muscle_Female
CD4_Naive_Primary_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HUES64_Cell_Line	CD15_Primary_Cells
Thymus	Adipose_Nuclei
ES_I3_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
Stomach_Mucosa	Dnd41_TCell_Leukemia
Brain_Mid_Frontal_Lobe	Right_Atrium
Fetal_Muscle_Trunk	Fetal_Thymus
Fetal_Placenta	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Fetal_Stomach	Adult_Liver
Breast_Myoepithelial_Cells	Skeletal_Muscle_Male
Colonic_Mucosa	Mobilized_CD34_Primary_Cells_Male
NH_A_Astrocytes	Monocytes_CD14pp_RO01746
K562_Leukemia	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Fetal_Placenta
Rectal_Mucosa.Donor_31	Fetal_Muscle_Trunk
Brain_Angular_Gyrus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
H9_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HMEC_Mammary_Epithelial	Fetal_Stomach
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
iPS_20b_Cell_Line	Brain_Germinal_Matrix
Right_Atrium	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Anterior_Caudate	Small_Intestine
Fetal_Intestine_Small	Fetal_Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD8_Naive_Primary_Cells
Colon_Smooth_Muscle	Stomach_Smooth_Muscle
Brain_Hippocampus_Middle	Fetal_Kidney
Pancreas	Stomach_Mucosa
Brain_Inferior_Temporal_Lobe	Fetal_Intestine_Small
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Placenta_Amnion
CD8_Naive_Primary_Cells	Breast_vHMEC
Esophagus	Sigmoid_Colon
iPS_18_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Skeletal_Muscle_Male	Duodenum_Smooth_Muscle
4star	Fetal_Intestine_Large
IMR90_Cell_Line	Left_Ventricle
HUES6_Cell_Line	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Cord_BI	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUES48_Cell_Line	Colonic_Mucosa
HSMM_Skeletal_Muscle_Myoblasts	IMR90_Cell_Line
Spleen	NH_A_Astrocytes
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Heart
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Psoas_Muscle
Duodenum_Smooth_Muscle	H9_Derived_Neuron_Cultured_Cells
Fetal_Brain_Female	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD56_Primary_Cells	iPS_DF_19.11_Cell_Line
iPS_15b_Cell_Line	Muscle_Satellite_Cultured_Cells
Lung	Thymus
Osteoblasts	Fetal_Brain_Male
Fetal_Intestine_Large	Rectal_Mucosa.Donor_29
Dnd41_TCell_Leukemia	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Ovary	CD8_Memory_Primary_Cells
HepG2_Hepatocellular_Carcinoma	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Lung
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
NHLF_Lung_Fibroblasts	HMEC_Mammary_Epithelial
Sigmoid_Colon	CD4_Memory_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Colon_Smooth_Muscle
H1_Cell_Line	CD4_Naive_Primary_Cells
Placenta_Amnion	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	NHEK_Epidermal_Keratinocytes
Adult_Liver	Rectal_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	NHLF_Lung_Fibroblasts
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Cord_BI
CD4_Memory_Primary_Cells	Right_Ventricle
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NHDF_Ad_Adult_Dermal_Fibroblasts
H1_Derived_Mesenchymal_Stem_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Duodenum_Mucosa	Osteoblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Esophagus
HUVEC_Umbilical_Vein_Endothelial_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Pancreatic_Islets	H1_Cell_Line
CD14_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Psoas_Muscle	Duodenum_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	iPS_18_Cell_Line
Brain_Germinal_Matrix	HSMM_Skeletal_Muscle_Myoblasts
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	4star
Left_Ventricle	Spleen
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Pancreas
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Brain_Female
CD34_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	HUES64_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	HepG2_Hepatocellular_Carcinoma
Adipose_Nuclei	iPS_DF_6.9_Cell_Line
Skeletal_Muscle_Female	Aorta
CD15_Primary_Cells	HUES48_Cell_Line
Monocytes_CD14pp_RO01746	Brain_Hippocampus_Middle
Rectal_Mucosa.Donor_29	GM12878_Lymphoblastoid
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Breast_Myoepithelial_Cells
Stomach_Smooth_Muscle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Mid_Frontal_Lobe
Mobilized_CD34_Primary_Cells_Female	iPS_15b_Cell_Line
Gastric	Brain_Cingulate_Gyrus
CD4pp_CD25__Th_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Inferior_Temporal_Lobe
Breast_vHMEC	HUES6_Cell_Line
Fetal_Heart	Brain_Angular_Gyrus
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	iPS_20b_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Ovary
Mobilized_CD34_Primary_Cells_Male	Brain_Substantia_Nigra
iPS_DF_6.9_Cell_Line	K562_Leukemia
Fetal_Kidney	ES_I3_Cell_Line
GM12878_Lymphoblastoid	Gastric
Small_Intestine	Brain_Anterior_Caudate
ES_WA7_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Pancreatic_Islets
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD19_Primary_Cells_Cord_BI	H9_Cell_Line
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Aorta	HeLa_S3_Cervical_Carcinoma
Fetal_Brain_Male	ES_WA7_Cell_Line
CD34_Primary_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
