(New) Cell Type	(Old) Cell Type
Fetal_Muscle_Trunk	Fetal_Muscle_Trunk
Skeletal_Muscle_Male	Fetal_Muscle_Leg
Skeletal_Muscle_Female	Fetal_Adrenal_Gland
Brain_Germinal_Matrix	Fetal_Stomach
CD4pp_CD25__Th_Primary_Cells	Fetal_Placenta
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD14_Primary_Cells
CD34_Cultured_Cells	Placenta_Amnion
Stomach_Smooth_Muscle	Fetal_Thymus
Fetal_Thymus	Mobilized_CD34_Primary_Cells_Female
Adipose_Nuclei	CD19_Primary_Cells_Peripheral_UW
CD3_Primary_Cells_Peripheral_UW	Fetal_Intestine_Small
iPS_DF_19.11_Cell_Line	CD56_Primary_Cells
Colonic_Mucosa	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Stomach	Fetal_Intestine_Large
Brain_Hippocampus_Middle	Breast_vHMEC
4star	HMEC_Mammary_Epithelial
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD3_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Lung
Fetal_Placenta	Monocytes_CD14pp_RO01746
Right_Ventricle	Small_Intestine
CD15_Primary_Cells	Lung
Fetal_Adrenal_Gland	Peripheral_Blood_Mononuclear_Primary_Cells
Esophagus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD14_Primary_Cells	Right_Atrium
Stomach_Mucosa	CD8_Naive_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	IMR90_Cell_Line
Sigmoid_Colon	Thymus
Lung	CD34_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Sigmoid_Colon
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Mobilized_CD34_Primary_Cells_Male
Left_Ventricle	CD4pp_CD25__Th_Primary_Cells
Muscle_Satellite_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Heart
NH_A_Astrocytes	Spleen
IMR90_Cell_Line	Left_Ventricle
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Skeletal_Muscle_Female
H9_Derived_Neuron_Cultured_Cells	Duodenum_Smooth_Muscle
Fetal_Muscle_Leg	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Placenta_Amnion	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Duodenum_Mucosa	H9_Derived_Neuronal_Progenitor_Cultured_Cells
CD56_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Breast_Myoepithelial_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Esophagus
H1_Derived_Mesenchymal_Stem_Cells	Stomach_Mucosa
K562_Leukemia	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Colonic_Mucosa
Thymus	CD15_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Rectal_Mucosa.Donor_31
Spleen	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
NHEK_Epidermal_Keratinocytes	Muscle_Satellite_Cultured_Cells
Ovary	Adipose_Nuclei
Brain_Substantia_Nigra	Fetal_Kidney
Aorta	Skeletal_Muscle_Male
CD34_Primary_Cells	CD34_Primary_Cells
Monocytes_CD14pp_RO01746	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	NHEK_Epidermal_Keratinocytes
HUVEC_Umbilical_Vein_Endothelial_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD8_Naive_Primary_Cells	CD4_Memory_Primary_Cells
Duodenum_Smooth_Muscle	4star
Fetal_Intestine_Small	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4_Naive_Primary_Cells
HMEC_Mammary_Epithelial	Dnd41_TCell_Leukemia
Neurosphere_Cultured_Cells_Cortex_Derived	H1_Cell_Line
Pancreas	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Right_Atrium	Brain_Germinal_Matrix
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	GM12878_Lymphoblastoid
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	NH_A_Astrocytes
CD4_Memory_Primary_Cells	iPS_DF_19.11_Cell_Line
Brain_Inferior_Temporal_Lobe	Right_Ventricle
Gastric	Adult_Liver
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Ovary
Fetal_Intestine_Large	CD8_Memory_Primary_Cells
Fetal_Brain_Female	CD19_Primary_Cells_Cord_BI
CD8_Memory_Primary_Cells	NHLF_Lung_Fibroblasts
Rectal_Mucosa.Donor_31	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Osteoblasts
Brain_Mid_Frontal_Lobe	Colon_Smooth_Muscle
Rectal_Mucosa.Donor_29	Psoas_Muscle
Osteoblasts	Fetal_Brain_Female
CD4_Naive_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
iPS_DF_6.9_Cell_Line	Fetal_Brain_Male
Psoas_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Breast_vHMEC	Breast_Myoepithelial_Cells
CD19_Primary_Cells_Cord_BI	NHDF_Ad_Adult_Dermal_Fibroblasts
Mobilized_CD34_Primary_Cells_Male	Rectal_Mucosa.Donor_29
Brain_Anterior_Caudate	Duodenum_Mucosa
CD3_Primary_Cells_Cord_BI	A549_EtOH_0.02pct_Lung_Carcinoma
GM12878_Lymphoblastoid	HUES6_Cell_Line
Mobilized_CD34_Primary_Cells_Female	CD3_Primary_Cells_Cord_BI
Brain_Cingulate_Gyrus	HUES64_Cell_Line
H1_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Rectal_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Colon_Smooth_Muscle	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Lung	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Angular_Gyrus	iPS_18_Cell_Line
Adult_Liver	H1_Derived_Mesenchymal_Stem_Cells
NHLF_Lung_Fibroblasts	iPS_DF_6.9_Cell_Line
Small_Intestine	Brain_Hippocampus_Middle
NHDF_Ad_Adult_Dermal_Fibroblasts	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Dnd41_TCell_Leukemia	ES_I3_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Brain_Substantia_Nigra
HepG2_Hepatocellular_Carcinoma	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	iPS_20b_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HUES48_Cell_Line
Fetal_Brain_Male	Brain_Angular_Gyrus
ES_WA7_Cell_Line	Brain_Inferior_Temporal_Lobe
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Anterior_Caudate
Fetal_Heart	Stomach_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Rectal_Smooth_Muscle
HUES6_Cell_Line	Brain_Cingulate_Gyrus
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Mid_Frontal_Lobe
H9_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_15b_Cell_Line	Pancreatic_Islets
Fetal_Kidney	H9_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Aorta
