(New) Cell Type	(Old) Cell Type
Fetal_Muscle_Trunk	Fetal_Muscle_Trunk
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Intestine_Large
iPS_DF_19.11_Cell_Line	Fetal_Muscle_Leg
Brain_Germinal_Matrix	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Stomach_Mucosa	Colon_Smooth_Muscle
CD3_Primary_Cells_Peripheral_UW	HSMM_Skeletal_Muscle_Myoblasts
Adipose_Nuclei	Fetal_Stomach
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NHLF_Lung_Fibroblasts
CD4pp_CD25__Th_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Adrenal_Gland	Fetal_Intestine_Small
NH_A_Astrocytes	Placenta_Amnion
Fetal_Muscle_Leg	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Duodenum_Mucosa	Muscle_Satellite_Cultured_Cells
Fetal_Thymus	IMR90_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Esophagus
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Left_Ventricle
Lung	Duodenum_Smooth_Muscle
Placenta_Amnion	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Female	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Skeletal_Muscle_Male	Small_Intestine
Colonic_Mucosa	Fetal_Adrenal_Gland
CD15_Primary_Cells	Rectal_Smooth_Muscle
Fetal_Stomach	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Hippocampus_Middle	NH_A_Astrocytes
Left_Ventricle	Psoas_Muscle
4star	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Rectal_Mucosa.Donor_31
Fetal_Placenta	Osteoblasts
CD34_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
IMR90_Cell_Line	Thymus
Stomach_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Esophagus	Colonic_Mucosa
