(New) Chromatin State	(Old) Chromatin State
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Flanking_Active_TSS	Flanking_Active_TSS
Enhancers	Genic_enhancers
ZNF_genes_and_repeats	Active_TSS
Bivalent_Enhancer	Enhancers
Genic_enhancers	Weak_transcription
Bivalent_Poised_TSS	Strong_transcription
Active_TSS	Flanking_Bivalent_TSS_Enh
Flanking_Bivalent_TSS_Enh	Bivalent_Enhancer
Repressed_PolyComb	Bivalent_Poised_TSS
Heterochromatin	Repressed_PolyComb
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
