(New) Cell Type	(Old) Cell Type
Fetal_Placenta	Fetal_Placenta
Fetal_Muscle_Trunk	Rectal_Smooth_Muscle
Brain_Angular_Gyrus	Ovary
Colonic_Mucosa	Spleen
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Monocytes_CD14pp_RO01746	Placenta_Amnion
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Colonic_Mucosa
ES_WA7_Cell_Line	Colon_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Esophagus
Brain_Cingulate_Gyrus	Adipose_Nuclei
CD56_Primary_Cells	HMEC_Mammary_Epithelial
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Duodenum_Smooth_Muscle
Spleen	HSMM_Skeletal_Muscle_Myoblasts
Brain_Inferior_Temporal_Lobe	Right_Ventricle
Brain_Mid_Frontal_Lobe	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_DF_19.11_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Esophagus	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Adrenal_Gland	Rectal_Mucosa.Donor_29
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Duodenum_Mucosa
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Cell_Line
Dnd41_TCell_Leukemia	Stomach_Smooth_Muscle
Fetal_Muscle_Leg	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Stomach	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Rectal_Mucosa.Donor_31	Mobilized_CD34_Primary_Cells_Female
Adipose_Nuclei	Brain_Hippocampus_Middle
Lung	Psoas_Muscle
Mobilized_CD34_Primary_Cells_Male	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Breast_Myoepithelial_Cells	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Peripheral_UW	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Brain_Male	Left_Ventricle
Rectal_Smooth_Muscle	Brain_Mid_Frontal_Lobe
CD19_Primary_Cells_Cord_BI	Adult_Liver
Peripheral_Blood_Mononuclear_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Fetal_Brain_Female	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Brain_Hippocampus_Middle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Brain_Anterior_Caudate
Right_Ventricle	Neurosphere_Cultured_Cells_Cortex_Derived
Duodenum_Smooth_Muscle	iPS_DF_6.9_Cell_Line
CD34_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Stomach_Mucosa	NHLF_Lung_Fibroblasts
Mobilized_CD34_Primary_Cells_Female	NHEK_Epidermal_Keratinocytes
Brain_Germinal_Matrix	Brain_Substantia_Nigra
CD34_Cultured_Cells	CD34_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Lung
Skeletal_Muscle_Female	NH_A_Astrocytes
Fetal_Thymus	CD4pp_CD25__Th_Primary_Cells
Adult_Liver	Fetal_Adrenal_Gland
Fetal_Intestine_Small	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Rectal_Mucosa.Donor_29	Breast_Myoepithelial_Cells
H1_Derived_Mesenchymal_Stem_Cells	iPS_DF_19.11_Cell_Line
Pancreas	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Skeletal_Muscle_Male	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Osteoblasts	Fetal_Intestine_Small
Fetal_Intestine_Large	Skeletal_Muscle_Female
Thymus	Fetal_Intestine_Large
Duodenum_Mucosa	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHLF_Lung_Fibroblasts	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Sigmoid_Colon
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Cingulate_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Stomach_Smooth_Muscle	IMR90_Cell_Line
CD4pp_CD25__Th_Primary_Cells	CD4_Memory_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H1_Derived_Mesenchymal_Stem_Cells
4star	A549_EtOH_0.02pct_Lung_Carcinoma
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Muscle_Leg
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD34_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Brain_Inferior_Temporal_Lobe
Psoas_Muscle	CD8_Naive_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD4_Naive_Primary_Cells
Placenta_Amnion	Skeletal_Muscle_Male
H1_Cell_Line	CD8_Memory_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Brain_Angular_Gyrus
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Stomach_Mucosa
Colon_Smooth_Muscle	Fetal_Stomach
