(New) Cell Type	(Old) Cell Type
Fetal_Placenta	Fetal_Placenta
Rectal_Smooth_Muscle	Rectal_Smooth_Muscle
Right_Ventricle	Colonic_Mucosa
Fetal_Muscle_Trunk	Spleen
Brain_Mid_Frontal_Lobe	Placenta_Amnion
iPS_DF_19.11_Cell_Line	Right_Ventricle
Colonic_Mucosa	Esophagus
HUES6_Cell_Line	Colon_Smooth_Muscle
Brain_Angular_Gyrus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Breast_Myoepithelial_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
NHLF_Lung_Fibroblasts	Duodenum_Smooth_Muscle
Brain_Substantia_Nigra	Lung
Brain_Hippocampus_Middle	Psoas_Muscle
IMR90_Cell_Line	Fetal_Muscle_Trunk
Ovary	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Duodenum_Mucosa
Fetal_Stomach	Breast_vHMEC
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_DF_19.11_Cell_Line
K562_Leukemia	Brain_Mid_Frontal_Lobe
Brain_Cingulate_Gyrus	Brain_Substantia_Nigra
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Stomach
ES_I3_Cell_Line	H9_Cell_Line
A549_EtOH_0.02pct_Lung_Carcinoma	Ovary
Sigmoid_Colon	Rectal_Mucosa.Donor_29
Fetal_Muscle_Leg	Brain_Hippocampus_Middle
Brain_Inferior_Temporal_Lobe	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HUES64_Cell_Line	Stomach_Mucosa
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Stomach_Mucosa	Brain_Anterior_Caudate
Pancreatic_Islets	Adipose_Nuclei
Fetal_Intestine_Small	Skeletal_Muscle_Female
iPS_18_Cell_Line	iPS_DF_6.9_Cell_Line
Colon_Smooth_Muscle	Skeletal_Muscle_Male
Fetal_Kidney	Rectal_Mucosa.Donor_31
Duodenum_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Brain_Anterior_Caudate	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Angular_Gyrus
Thymus	Fetal_Muscle_Leg
iPS_15b_Cell_Line	Breast_Myoepithelial_Cells
Skeletal_Muscle_Male	Brain_Inferior_Temporal_Lobe
Fetal_Thymus	Sigmoid_Colon
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Adrenal_Gland
iPS_20b_Cell_Line	Brain_Cingulate_Gyrus
Fetal_Intestine_Large	Fetal_Intestine_Small
Right_Atrium	CD8_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HMEC_Mammary_Epithelial
HSMM_Skeletal_Muscle_Myoblasts	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Adrenal_Gland	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Stomach_Smooth_Muscle
CD8_Memory_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HMEC_Mammary_Epithelial	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	4star
HUES48_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Peripheral_Blood_Mononuclear_Primary_Cells	ES_I3_Cell_Line
NHEK_Epidermal_Keratinocytes	CD4_Memory_Primary_Cells
Psoas_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
Left_Ventricle	iPS_15b_Cell_Line
CD8_Naive_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD56_Primary_Cells	Adult_Liver
Esophagus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H1_Cell_Line	CD4_Naive_Primary_Cells
Small_Intestine	Left_Ventricle
4star	ES_WA7_Cell_Line
CD3_Primary_Cells_Peripheral_UW	HUES6_Cell_Line
HeLa_S3_Cervical_Carcinoma	Brain_Germinal_Matrix
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NHEK_Epidermal_Keratinocytes
Duodenum_Mucosa	CD4pp_CD25__Th_Primary_Cells
Placenta_Amnion	Small_Intestine
Adipose_Nuclei	Fetal_Intestine_Large
Rectal_Mucosa.Donor_31	H1_Cell_Line
CD19_Primary_Cells_Peripheral_UW	Mobilized_CD34_Primary_Cells_Female
Fetal_Lung	Thymus
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD34_Cultured_Cells
Spleen	Mobilized_CD34_Primary_Cells_Male
Dnd41_TCell_Leukemia	Neurosphere_Cultured_Cells_Cortex_Derived
Rectal_Mucosa.Donor_29	Fetal_Brain_Female
Skeletal_Muscle_Female	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD8_Naive_Primary_Cells
CD4_Naive_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	HUES48_Cell_Line
Lung	CD34_Primary_Cells
