(New) Cell Type	(Old) Cell Type
Fetal_Placenta	Fetal_Placenta
iPS_DF_19.11_Cell_Line	Stomach_Mucosa
Lung	Sigmoid_Colon
Esophagus	Lung
Fetal_Muscle_Leg	Placenta_Amnion
Thymus	Fetal_Adrenal_Gland
Stomach_Mucosa	Fetal_Intestine_Large
Fetal_Adrenal_Gland	Gastric
Gastric	Fetal_Muscle_Trunk
Fetal_Muscle_Trunk	Neurosphere_Cultured_Cells_Cortex_Derived
Skeletal_Muscle_Female	H1_Derived_Neuronal_Progenitor_Cultured_Cells
IMR90_Cell_Line	Fetal_Stomach
Spleen	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Intestine_Large	Pancreas
Stomach_Smooth_Muscle	Fetal_Muscle_Leg
Adipose_Nuclei	Left_Ventricle
Pancreas	Pancreatic_Islets
H1_Derived_Mesenchymal_Stem_Cells	iPS_DF_6.9_Cell_Line
Colonic_Mucosa	Esophagus
Brain_Cingulate_Gyrus	Brain_Angular_Gyrus
Fetal_Kidney	4star
4star	Colon_Smooth_Muscle
Duodenum_Mucosa	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Anterior_Caudate	CD14_Primary_Cells
CD34_Cultured_Cells	Psoas_Muscle
Right_Ventricle	Brain_Substantia_Nigra
Brain_Hippocampus_Middle	IMR90_Cell_Line
Rectal_Smooth_Muscle	Fetal_Kidney
iPS_15b_Cell_Line	Right_Ventricle
Brain_Germinal_Matrix	Small_Intestine
Left_Ventricle	Rectal_Mucosa.Donor_31
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Breast_vHMEC
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Mid_Frontal_Lobe
Fetal_Brain_Female	Brain_Cingulate_Gyrus
NHLF_Lung_Fibroblasts	Mobilized_CD34_Primary_Cells_Female
Rectal_Mucosa.Donor_29	Colonic_Mucosa
Fetal_Stomach	Adipose_Nuclei
HepG2_Hepatocellular_Carcinoma	Fetal_Lung
CD3_Primary_Cells_Peripheral_UW	H1_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Brain_Hippocampus_Middle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Anterior_Caudate
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H9_Cell_Line
Rectal_Mucosa.Donor_31	CD8_Naive_Primary_Cells
Skeletal_Muscle_Male	Peripheral_Blood_Mononuclear_Primary_Cells
Colon_Smooth_Muscle	CD4_Memory_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_15b_Cell_Line
H1_Cell_Line	CD56_Primary_Cells
Fetal_Brain_Male	Rectal_Smooth_Muscle
CD56_Primary_Cells	Brain_Inferior_Temporal_Lobe
Brain_Mid_Frontal_Lobe	Fetal_Intestine_Small
Aorta	Adult_Liver
CD34_Primary_Cells	CD34_Primary_Cells
Right_Atrium	Fetal_Thymus
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Thymus
Sigmoid_Colon	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Ovary	CD19_Primary_Cells_Peripheral_UW
CD19_Primary_Cells_Peripheral_UW	Duodenum_Mucosa
Adult_Liver	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25pp_CD127__Treg_Primary_Cells	ES_I3_Cell_Line
H9_Cell_Line	Duodenum_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Mobilized_CD34_Primary_Cells_Female	CD8_Memory_Primary_Cells
CD14_Primary_Cells	NHLF_Lung_Fibroblasts
Fetal_Lung	HMEC_Mammary_Epithelial
Fetal_Thymus	Spleen
Brain_Angular_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Brain_Inferior_Temporal_Lobe	CD4pp_CD25__Th_Primary_Cells
iPS_DF_6.9_Cell_Line	Rectal_Mucosa.Donor_29
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	NH_A_Astrocytes
Neurosphere_Cultured_Cells_Cortex_Derived	Aorta
Mobilized_CD34_Primary_Cells_Male	Fetal_Brain_Male
Brain_Substantia_Nigra	NHDF_Ad_Adult_Dermal_Fibroblasts
CD4pp_CD25__Th_Primary_Cells	iPS_18_Cell_Line
Duodenum_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Placenta_Amnion	Brain_Germinal_Matrix
H9_Derived_Neuron_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	H1_Derived_Mesenchymal_Stem_Cells
CD19_Primary_Cells_Cord_BI	HUES48_Cell_Line
CD3_Primary_Cells_Cord_BI	Fetal_Brain_Female
CD8_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Osteoblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
