(New) Cell Type	(Old) Cell Type
Fetal_Stomach	Fetal_Stomach
Thymus	Colonic_Mucosa
H9_Cell_Line	Rectal_Smooth_Muscle
Fetal_Intestine_Small	Esophagus
IMR90_Cell_Line	Brain_Mid_Frontal_Lobe
Brain_Germinal_Matrix	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Sigmoid_Colon	Gastric
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Right_Ventricle
Fetal_Brain_Female	Aorta
Skeletal_Muscle_Male	Fetal_Kidney
Stomach_Smooth_Muscle	Fetal_Placenta
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Lung
Placenta_Amnion	Brain_Angular_Gyrus
Fetal_Muscle_Leg	Colon_Smooth_Muscle
4star	Spleen
Brain_Hippocampus_Middle	Brain_Cingulate_Gyrus
Fetal_Adrenal_Gland	Brain_Substantia_Nigra
Monocytes_CD14pp_RO01746	Skeletal_Muscle_Male
Neurosphere_Cultured_Cells_Cortex_Derived	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Peripheral_Blood_Mononuclear_Primary_Cells	Monocytes_CD14pp_RO01746
Mobilized_CD34_Primary_Cells_Male	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Muscle_Trunk	Duodenum_Smooth_Muscle
H1_Cell_Line	Brain_Inferior_Temporal_Lobe
iPS_15b_Cell_Line	Sigmoid_Colon
NHLF_Lung_Fibroblasts	Brain_Hippocampus_Middle
HepG2_Hepatocellular_Carcinoma	Brain_Anterior_Caudate
Brain_Inferior_Temporal_Lobe	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Spleen	Pancreas
Brain_Anterior_Caudate	H1_Derived_Mesenchymal_Stem_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Ovary
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HUES64_Cell_Line
CD14_Primary_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
NHEK_Epidermal_Keratinocytes	CD14_Primary_Cells
Brain_Cingulate_Gyrus	Stomach_Smooth_Muscle
Fetal_Lung	Fetal_Intestine_Small
Muscle_Satellite_Cultured_Cells	Placenta_Amnion
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25__Th_Primary_Cells
Lung	HUES48_Cell_Line
CD3_Primary_Cells_Cord_BI	NHLF_Lung_Fibroblasts
Skeletal_Muscle_Female	Fetal_Lung
Colonic_Mucosa	Left_Ventricle
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD15_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Germinal_Matrix
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Small_Intestine
Ovary	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Left_Ventricle	Psoas_Muscle
Osteoblasts	Fetal_Brain_Female
Duodenum_Smooth_Muscle	iPS_20b_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Muscle_Trunk
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Rectal_Mucosa.Donor_29
iPS_DF_19.11_Cell_Line	CD56_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES6_Cell_Line
HMEC_Mammary_Epithelial	Fetal_Adrenal_Gland
Fetal_Placenta	Duodenum_Mucosa
GM12878_Lymphoblastoid	Mobilized_CD34_Primary_Cells_Female
Fetal_Intestine_Large	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Duodenum_Mucosa	iPS_18_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Fetal_Thymus
Colon_Smooth_Muscle	CD3_Primary_Cells_Peripheral_UW
Adipose_Nuclei	H9_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	H1_Cell_Line
Breast_Myoepithelial_Cells	Fetal_Muscle_Leg
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Adipose_Nuclei
A549_EtOH_0.02pct_Lung_Carcinoma	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES6_Cell_Line	Dnd41_TCell_Leukemia
Rectal_Mucosa.Donor_31	Rectal_Mucosa.Donor_31
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Intestine_Large
Rectal_Smooth_Muscle	H9_Derived_Neuron_Cultured_Cells
CD15_Primary_Cells	Skeletal_Muscle_Female
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	IMR90_Cell_Line
iPS_18_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Angular_Gyrus	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Thymus
H1_Derived_Mesenchymal_Stem_Cells	iPS_15b_Cell_Line
Brain_Substantia_Nigra	Adult_Liver
Rectal_Mucosa.Donor_29	iPS_DF_6.9_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
CD4_Naive_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD19_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Osteoblasts
CD34_Cultured_Cells	Breast_Myoepithelial_Cells
HUES48_Cell_Line	HeLa_S3_Cervical_Carcinoma
Fetal_Thymus	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
K562_Leukemia	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Stomach_Mucosa
CD34_Primary_Cells	iPS_DF_19.11_Cell_Line
Brain_Mid_Frontal_Lobe	NHEK_Epidermal_Keratinocytes
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HUES64_Cell_Line	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Muscle_Satellite_Cultured_Cells
NH_A_Astrocytes	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Adult_Liver	NH_A_Astrocytes
iPS_20b_Cell_Line	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	GM12878_Lymphoblastoid
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HepG2_Hepatocellular_Carcinoma
Right_Ventricle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
ES_I3_Cell_Line	HMEC_Mammary_Epithelial
CD56_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
HeLa_S3_Cervical_Carcinoma	4star
