(New) Cell Type	(Old) Cell Type
Fetal_Stomach	Fetal_Stomach
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
Fetal_Muscle_Trunk	Duodenum_Smooth_Muscle
Fetal_Adrenal_Gland	Rectal_Mucosa.Donor_29
Lung	Rectal_Mucosa.Donor_31
Fetal_Lung	Colonic_Mucosa
Monocytes_CD14pp_RO01746	Rectal_Smooth_Muscle
CD14_Primary_Cells	Right_Ventricle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Colon_Smooth_Muscle
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Fetal_Muscle_Trunk
Fetal_Placenta	Placenta_Amnion
IMR90_Cell_Line	Fetal_Adrenal_Gland
Skeletal_Muscle_Male	Fetal_Muscle_Leg
Fetal_Brain_Male	Skeletal_Muscle_Female
Mobilized_CD34_Primary_Cells_Male	Stomach_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Mid_Frontal_Lobe
Esophagus	CD3_Primary_Cells_Peripheral_UW
Fetal_Muscle_Leg	Stomach_Mucosa
HepG2_Hepatocellular_Carcinoma	Skeletal_Muscle_Male
ES_WA7_Cell_Line	Small_Intestine
Fetal_Kidney	Adipose_Nuclei
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Placenta
Mobilized_CD34_Primary_Cells_Female	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD15_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Colon_Smooth_Muscle	Fetal_Intestine_Large
iPS_DF_6.9_Cell_Line	K562_Leukemia
Breast_Myoepithelial_Cells	Brain_Germinal_Matrix
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Psoas_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Intestine_Small
Placenta_Amnion	Fetal_Kidney
Colonic_Mucosa	CD34_Cultured_Cells
HUES6_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Fetal_Brain_Female
Aorta	H9_Derived_Neuron_Cultured_Cells
Gastric	Brain_Hippocampus_Middle
Breast_vHMEC	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
Fetal_Thymus	NHLF_Lung_Fibroblasts
Stomach_Mucosa	Brain_Substantia_Nigra
Neurosphere_Cultured_Cells_Cortex_Derived	Sigmoid_Colon
HUVEC_Umbilical_Vein_Endothelial_Cells	NHEK_Epidermal_Keratinocytes
Fetal_Brain_Female	Fetal_Lung
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	NH_A_Astrocytes
Brain_Germinal_Matrix	HeLa_S3_Cervical_Carcinoma
CD4pp_CD25__Th_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
NH_A_Astrocytes	IMR90_Cell_Line
HUES48_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Adipose_Nuclei	H1_Derived_Mesenchymal_Stem_Cells
Thymus	Osteoblasts
CD56_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Rectal_Smooth_Muscle	Thymus
CD19_Primary_Cells_Peripheral_UW	Muscle_Satellite_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Cingulate_Gyrus
Pancreatic_Islets	ES_WA7_Cell_Line
HUES64_Cell_Line	ES_I3_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HUES6_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD15_Primary_Cells
ES_I3_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HeLa_S3_Cervical_Carcinoma	Fetal_Heart
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Mobilized_CD34_Primary_Cells_Female
H9_Cell_Line	iPS_DF_19.11_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Duodenum_Smooth_Muscle	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Naive_Primary_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
iPS_15b_Cell_Line	Monocytes_CD14pp_RO01746
iPS_20b_Cell_Line	iPS_15b_Cell_Line
4star	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Brain_Male
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Mid_Frontal_Lobe	Breast_vHMEC
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Osteoblasts	Brain_Angular_Gyrus
Dnd41_TCell_Leukemia	NHDF_Ad_Adult_Dermal_Fibroblasts
