(New) Cell Type	(Old) Cell Type
Fetal_Thymus	Fetal_Thymus
CD19_Primary_Cells_Peripheral_UW	Thymus
HMEC_Mammary_Epithelial	Sigmoid_Colon
CD14_Primary_Cells	Breast_vHMEC
Fetal_Muscle_Leg	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Small_Intestine
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Intestine_Large
Skeletal_Muscle_Male	Fetal_Stomach
Skeletal_Muscle_Female	CD4_Memory_Primary_Cells
Rectal_Mucosa.Donor_31	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Intestine_Small
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	CD8_Memory_Primary_Cells
Brain_Germinal_Matrix	Stomach_Mucosa
Stomach_Smooth_Muscle	CD4_Naive_Primary_Cells
iPS_DF_6.9_Cell_Line	CD8_Naive_Primary_Cells
Gastric	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Duodenum_Mucosa	H1_Cell_Line
Adult_Liver	Dnd41_TCell_Leukemia
Adipose_Nuclei	Fetal_Adrenal_Gland
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Placenta_Amnion
Brain_Angular_Gyrus	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Rectal_Smooth_Muscle	Lung
Fetal_Adrenal_Gland	Fetal_Muscle_Leg
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Aorta	Left_Ventricle
Brain_Mid_Frontal_Lobe	Esophagus
Brain_Inferior_Temporal_Lobe	iPS_DF_6.9_Cell_Line
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	IMR90_Cell_Line
Brain_Cingulate_Gyrus	NHEK_Epidermal_Keratinocytes
