(New) Chromatin State	(Old) Chromatin State
Genic_enhancers	ZNF_genes_and_repeats
ZNF_genes_and_repeats	Weak_transcription
Transcr_at_gene_5_and_3	Heterochromatin
Enhancers	Strong_transcription
Flanking_Active_TSS	Genic_enhancers
Active_TSS	Flanking_Bivalent_TSS_Enh
Repressed_PolyComb	Active_TSS
Bivalent_Poised_TSS	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Flanking_Active_TSS
Heterochromatin	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	Enhancers
Strong_transcription	Bivalent_Enhancer
Weak_transcription	Repressed_PolyComb
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Quiescent_Low	Quiescent_Low
