(New) Cell Type	(Old) Cell Type
GM12878_Lymphoblastoid	GM12878_Lymphoblastoid
Monocytes_CD14pp_RO01746	CD19_Primary_Cells_Peripheral_UW
CD34_Primary_Cells	CD19_Primary_Cells_Cord_BI
A549_EtOH_0.02pct_Lung_Carcinoma	CD56_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25__Th_Primary_Cells
Brain_Anterior_Caudate	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Germinal_Matrix	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Angular_Gyrus	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
K562_Leukemia	CD3_Primary_Cells_Peripheral_UW
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD34_Cultured_Cells
iPS_20b_Cell_Line	CD4_Memory_Primary_Cells
NH_A_Astrocytes	CD8_Memory_Primary_Cells
Duodenum_Smooth_Muscle	Monocytes_CD14pp_RO01746
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4_Naive_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Dnd41_TCell_Leukemia
Rectal_Smooth_Muscle	CD3_Primary_Cells_Cord_BI
H9_Derived_Neuron_Cultured_Cells	Mobilized_CD34_Primary_Cells_Male
Brain_Cingulate_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
iPS_18_Cell_Line	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HeLa_S3_Cervical_Carcinoma	Thymus
ES_I3_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Rectal_Mucosa.Donor_31	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
HUES6_Cell_Line	CD8_Naive_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Thymus
Duodenum_Mucosa	CD34_Primary_Cells
CD19_Primary_Cells_Cord_BI	Rectal_Mucosa.Donor_29
HUES48_Cell_Line	Duodenum_Mucosa
Brain_Substantia_Nigra	CD14_Primary_Cells
Brain_Hippocampus_Middle	CD15_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	K562_Leukemia
HUES64_Cell_Line	Colonic_Mucosa
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Duodenum_Smooth_Muscle
Fetal_Lung	Sigmoid_Colon
Brain_Inferior_Temporal_Lobe	Right_Atrium
Right_Ventricle	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
HSMM_Skeletal_Muscle_Myoblasts	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Mucosa.Donor_31
Fetal_Heart	Spleen
NHLF_Lung_Fibroblasts	HepG2_Hepatocellular_Carcinoma
NHEK_Epidermal_Keratinocytes	Adipose_Nuclei
Osteoblasts	Skeletal_Muscle_Male
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Skeletal_Muscle_Female
NHDF_Ad_Adult_Dermal_Fibroblasts	Small_Intestine
H1_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Brain_Female	Stomach_Smooth_Muscle
Colon_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Brain_Male	HeLa_S3_Cervical_Carcinoma
Thymus	Fetal_Intestine_Small
Breast_vHMEC	NHEK_Epidermal_Keratinocytes
CD4_Naive_Primary_Cells	NHLF_Lung_Fibroblasts
HMEC_Mammary_Epithelial	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Stomach_Smooth_Muscle	Stomach_Mucosa
HUVEC_Umbilical_Vein_Endothelial_Cells	Lung
Adult_Liver	IMR90_Cell_Line
CD8_Memory_Primary_Cells	Osteoblasts
Mobilized_CD34_Primary_Cells_Male	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Fetal_Placenta
iPS_15b_Cell_Line	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Nuclei	Brain_Hippocampus_Middle
CD3_Primary_Cells_Cord_BI	Fetal_Muscle_Trunk
4star	Esophagus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Brain_Mid_Frontal_Lobe
Skeletal_Muscle_Male	Brain_Anterior_Caudate
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Fetal_Intestine_Large
Brain_Mid_Frontal_Lobe	Rectal_Smooth_Muscle
CD4_Memory_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
Skeletal_Muscle_Female	Fetal_Adrenal_Gland
Sigmoid_Colon	ES_I3_Cell_Line
Rectal_Mucosa.Donor_29	HUVEC_Umbilical_Vein_Endothelial_Cells
IMR90_Cell_Line	Muscle_Satellite_Cultured_Cells
Ovary	H1_Derived_Mesenchymal_Stem_Cells
Left_Ventricle	Right_Ventricle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Colon_Smooth_Muscle
Stomach_Mucosa	NH_A_Astrocytes
Pancreatic_Islets	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Psoas_Muscle	Fetal_Muscle_Leg
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Left_Ventricle
HepG2_Hepatocellular_Carcinoma	HUES6_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Stomach
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Dnd41_TCell_Leukemia	HMEC_Mammary_Epithelial
Placenta_Amnion	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Kidney	Brain_Cingulate_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Brain_Inferior_Temporal_Lobe
CD4pp_CD25__Th_Primary_Cells	Breast_Myoepithelial_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Stomach	iPS_15b_Cell_Line
