(New) Cell Type	(Old) Cell Type
Gastric	Gastric
Placenta_Amnion	CD56_Primary_Cells
CD4_Memory_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Esophagus	CD14_Primary_Cells
Lung	Neurosphere_Cultured_Cells_Cortex_Derived
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD34_Primary_Cells
4star	CD4pp_CD25__Th_Primary_Cells
Pancreas	CD19_Primary_Cells_Cord_BI
CD8_Naive_Primary_Cells	Right_Atrium
CD4_Naive_Primary_Cells	CD34_Cultured_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Stomach_Mucosa	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
ES_I3_Cell_Line	Adipose_Nuclei
Fetal_Adrenal_Gland	HUVEC_Umbilical_Vein_Endothelial_Cells
CD8_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Rectal_Mucosa.Donor_31
HUES64_Cell_Line	Adult_Liver
Sigmoid_Colon	CD15_Primary_Cells
Dnd41_TCell_Leukemia	Skeletal_Muscle_Female
Fetal_Intestine_Small	Fetal_Placenta
Colon_Smooth_Muscle	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HSMM_Skeletal_Muscle_Myoblasts	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Stomach	Mobilized_CD34_Primary_Cells_Male
CD19_Primary_Cells_Peripheral_UW	CD8_Naive_Primary_Cells
Breast_vHMEC	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHEK_Epidermal_Keratinocytes	Peripheral_Blood_Mononuclear_Primary_Cells
Right_Ventricle	Placenta_Amnion
CD14_Primary_Cells	Monocytes_CD14pp_RO01746
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Fetal_Adrenal_Gland
H9_Cell_Line	CD3_Primary_Cells_Peripheral_UW
iPS_DF_19.11_Cell_Line	Small_Intestine
Spleen	Pancreas
iPS_18_Cell_Line	Lung
Fetal_Thymus	Sigmoid_Colon
Fetal_Placenta	Duodenum_Mucosa
Fetal_Muscle_Leg	Stomach_Mucosa
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HeLa_S3_Cervical_Carcinoma	CD4_Memory_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Esophagus
Left_Ventricle	Dnd41_TCell_Leukemia
HUES48_Cell_Line	iPS_DF_19.11_Cell_Line
Breast_Myoepithelial_Cells	Fetal_Thymus
Fetal_Intestine_Large	Fetal_Muscle_Leg
Fetal_Muscle_Trunk	Colonic_Mucosa
iPS_15b_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Rectal_Smooth_Muscle	Breast_vHMEC
H1_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Colonic_Mucosa	Right_Ventricle
Brain_Substantia_Nigra	CD3_Primary_Cells_Cord_BI
Brain_Mid_Frontal_Lobe	Left_Ventricle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Small_Intestine	H1_Derived_Mesenchymal_Stem_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4_Naive_Primary_Cells
HUES6_Cell_Line	Stomach_Smooth_Muscle
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Stomach
iPS_DF_6.9_Cell_Line	Skeletal_Muscle_Male
H9_Derived_Neuron_Cultured_Cells	Spleen
Thymus	NH_A_Astrocytes
Brain_Cingulate_Gyrus	HMEC_Mammary_Epithelial
Brain_Angular_Gyrus	4star
Ovary	CD8_Memory_Primary_Cells
Skeletal_Muscle_Male	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Right_Atrium	iPS_DF_6.9_Cell_Line
iPS_20b_Cell_Line	Fetal_Intestine_Small
Psoas_Muscle	H9_Derived_Neuron_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Muscle_Trunk
HepG2_Hepatocellular_Carcinoma	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD56_Primary_Cells	Fetal_Heart
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Brain_Germinal_Matrix
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Lung	Rectal_Smooth_Muscle
Muscle_Satellite_Cultured_Cells	Thymus
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Lung
CD3_Primary_Cells_Cord_BI	NHEK_Epidermal_Keratinocytes
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Intestine_Large
Rectal_Mucosa.Donor_31	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
IMR90_Cell_Line	Psoas_Muscle
ES_WA7_Cell_Line	Muscle_Satellite_Cultured_Cells
Brain_Hippocampus_Middle	Colon_Smooth_Muscle
Duodenum_Smooth_Muscle	Breast_Myoepithelial_Cells
Pancreatic_Islets	Brain_Substantia_Nigra
NHLF_Lung_Fibroblasts	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Rectal_Mucosa.Donor_29
K562_Leukemia	IMR90_Cell_Line
CD3_Primary_Cells_Peripheral_UW	Fetal_Brain_Male
HMEC_Mammary_Epithelial	Osteoblasts
Brain_Inferior_Temporal_Lobe	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
