(New) Chromatin State	(Old) Chromatin State
Quiescent_Low	Heterochromatin
Weak_Repressed_PolyComb	Weak_Repressed_PolyComb
Weak_transcription	Quiescent_Low
Strong_transcription	Strong_transcription
Heterochromatin	Weak_transcription
ZNF_genes_and_repeats	Flanking_Active_TSS
Enhancers	Enhancers
Repressed_PolyComb	Repressed_PolyComb
Genic_enhancers	Bivalent_Enhancer
Transcr_at_gene_5_and_3	Bivalent_Poised_TSS
Flanking_Active_TSS	Flanking_Bivalent_TSS_Enh
Active_TSS	Active_TSS
Bivalent_Enhancer	Genic_enhancers
Bivalent_Poised_TSS	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Transcr_at_gene_5_and_3
