(New) Chromatin State	(Old) Chromatin State
Flanking_Bivalent_TSS_Enh	Transcr_at_gene_5_and_3
Bivalent_Enhancer	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Genic_enhancers
Flanking_Active_TSS	Active_TSS
Bivalent_Poised_TSS	Strong_transcription
Active_TSS	Enhancers
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Enhancers	Bivalent_Poised_TSS
ZNF_genes_and_repeats	Bivalent_Enhancer
Repressed_PolyComb	Repressed_PolyComb
Heterochromatin	Weak_transcription
Strong_transcription	ZNF_genes_and_repeats
Weak_transcription	Weak_Repressed_PolyComb
Weak_Repressed_PolyComb	Heterochromatin
Quiescent_Low	Quiescent_Low
