(New) Cell Type	(Old) Cell Type
Gastric	Gastric
Esophagus	Lung
Fetal_Brain_Male	Pancreas
iPS_DF_6.9_Cell_Line	Left_Ventricle
Colonic_Mucosa	Fetal_Stomach
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
CD15_Primary_Cells	Small_Intestine
CD4pp_CD25__Th_Primary_Cells	Fetal_Intestine_Small
Fetal_Kidney	Stomach_Mucosa
Right_Ventricle	Colonic_Mucosa
Pancreas	Fetal_Muscle_Leg
CD8_Memory_Primary_Cells	Breast_Myoepithelial_Cells
Placenta_Amnion	IMR90_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Fetal_Adrenal_Gland
CD56_Primary_Cells	CD3_Primary_Cells_Cord_BI
CD14_Primary_Cells	Fetal_Muscle_Trunk
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
ES_WA7_Cell_Line	Fetal_Intestine_Large
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Stomach_Mucosa	Peripheral_Blood_Mononuclear_Primary_Cells
H9_Derived_Neuron_Cultured_Cells	Stomach_Smooth_Muscle
Monocytes_CD14pp_RO01746	CD8_Memory_Primary_Cells
Rectal_Smooth_Muscle	Pancreatic_Islets
HUES64_Cell_Line	Sigmoid_Colon
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD3_Primary_Cells_Peripheral_UW	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	CD34_Cultured_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Duodenum_Mucosa
CD19_Primary_Cells_Peripheral_UW	Rectal_Mucosa.Donor_29
HUES48_Cell_Line	Adipose_Nuclei
H9_Cell_Line	CD19_Primary_Cells_Cord_BI
Fetal_Thymus	Mobilized_CD34_Primary_Cells_Male
Mobilized_CD34_Primary_Cells_Male	Thymus
Lung	Duodenum_Smooth_Muscle
Pancreatic_Islets	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_20b_Cell_Line	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD4_Naive_Primary_Cells	CD34_Primary_Cells
HUES6_Cell_Line	Ovary
HeLa_S3_Cervical_Carcinoma	Fetal_Lung
Fetal_Muscle_Trunk	Rectal_Mucosa.Donor_31
Fetal_Placenta	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
HUVEC_Umbilical_Vein_Endothelial_Cells	H9_Derived_Neuron_Cultured_Cells
Spleen	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Thymus	Adult_Liver
Psoas_Muscle	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Brain_Female	NHEK_Epidermal_Keratinocytes
Brain_Angular_Gyrus	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Rectal_Mucosa.Donor_29	CD3_Primary_Cells_Peripheral_UW
CD34_Cultured_Cells	Spleen
Fetal_Adrenal_Gland	Mobilized_CD34_Primary_Cells_Female
CD4_Memory_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Right_Atrium	GM12878_Lymphoblastoid
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_BMP4_Derived_Trophoblast_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
H1_Derived_Mesenchymal_Stem_Cells	CD4pp_CD25pp_CD127__Treg_Primary_Cells
IMR90_Cell_Line	Skeletal_Muscle_Female
CD8_Naive_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Brain_Germinal_Matrix	Fetal_Brain_Female
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Placenta
ES_I3_Cell_Line	Dnd41_TCell_Leukemia
HepG2_Hepatocellular_Carcinoma	Brain_Anterior_Caudate
Breast_Myoepithelial_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Osteoblasts
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Skeletal_Muscle_Male
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Thymus
iPS_18_Cell_Line	Brain_Hippocampus_Middle
Fetal_Stomach	CD4pp_CD25__Th_Primary_Cells
iPS_15b_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
4star	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Inferior_Temporal_Lobe
Stomach_Smooth_Muscle	CD56_Primary_Cells
NHLF_Lung_Fibroblasts	Monocytes_CD14pp_RO01746
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Smooth_Muscle
Adult_Liver	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	NHLF_Lung_Fibroblasts
Fetal_Lung	Muscle_Satellite_Cultured_Cells
Ovary	Esophagus
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Brain_Germinal_Matrix
Sigmoid_Colon	CD4_Naive_Primary_Cells
Fetal_Heart	HeLa_S3_Cervical_Carcinoma
Duodenum_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Muscle_Leg	4star
Fetal_Intestine_Large	K562_Leukemia
Colon_Smooth_Muscle	HUES6_Cell_Line
H1_Cell_Line	Brain_Cingulate_Gyrus
Rectal_Mucosa.Donor_31	HUES64_Cell_Line
Duodenum_Mucosa	CD14_Primary_Cells
CD34_Primary_Cells	Brain_Mid_Frontal_Lobe
Aorta	NH_A_Astrocytes
Breast_vHMEC	Colon_Smooth_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	CD15_Primary_Cells
CD19_Primary_Cells_Cord_BI	HMEC_Mammary_Epithelial
Brain_Cingulate_Gyrus	iPS_20b_Cell_Line
CD3_Primary_Cells_Cord_BI	Right_Ventricle
Brain_Inferior_Temporal_Lobe	Breast_vHMEC
HMEC_Mammary_Epithelial	HUVEC_Umbilical_Vein_Endothelial_Cells
Skeletal_Muscle_Male	HUES48_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Kidney
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD8_Naive_Primary_Cells
NH_A_Astrocytes	Brain_Substantia_Nigra
Fetal_Intestine_Small	iPS_18_Cell_Line
NHEK_Epidermal_Keratinocytes	Brain_Angular_Gyrus
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Aorta
Brain_Anterior_Caudate	NHDF_Ad_Adult_Dermal_Fibroblasts
Brain_Substantia_Nigra	H1_Cell_Line
Small_Intestine	CD4_Memory_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H9_Cell_Line
Adipose_Nuclei	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Placenta_Amnion
Muscle_Satellite_Cultured_Cells	Psoas_Muscle
Brain_Hippocampus_Middle	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HSMM_Skeletal_Muscle_Myoblasts	ES_I3_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	ES_WA7_Cell_Line
Skeletal_Muscle_Female	iPS_15b_Cell_Line
Osteoblasts	Fetal_Heart
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Brain_Male
NHDF_Ad_Adult_Dermal_Fibroblasts	iPS_DF_6.9_Cell_Line
K562_Leukemia	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Left_Ventricle	iPS_DF_19.11_Cell_Line
iPS_DF_19.11_Cell_Line	Right_Atrium
GM12878_Lymphoblastoid	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
