(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
ES_I3_Cell_Line	ES_I3_Cell_Line
Fetal_Kidney	iPS_20b_Cell_Line
GM12878_Lymphoblastoid	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	HUES64_Cell_Line
H9_Cell_Line	HUES6_Cell_Line
Small_Intestine	H9_Cell_Line
Psoas_Muscle	HUES48_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_18_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_15b_Cell_Line
Rectal_Mucosa.Donor_29	H1_Cell_Line
CD34_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Placenta_Amnion	ES_WA7_Cell_Line
Stomach_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_20b_Cell_Line	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Fetal_Heart	iPS_DF_6.9_Cell_Line
Fetal_Brain_Male	Fetal_Kidney
iPS_18_Cell_Line	H9_Derived_Neuron_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMM_Skeletal_Muscle_Myoblasts
ES_WA7_Cell_Line	4star
NHDF_Ad_Adult_Dermal_Fibroblasts	NH_A_Astrocytes
Fetal_Brain_Female	NHLF_Lung_Fibroblasts
A549_EtOH_0.02pct_Lung_Carcinoma	Duodenum_Smooth_Muscle
Left_Ventricle	NHDF_Ad_Adult_Dermal_Fibroblasts
CD3_Primary_Cells_Cord_BI	Fetal_Intestine_Small
Duodenum_Smooth_Muscle	Fetal_Stomach
HUES64_Cell_Line	Fetal_Lung
Breast_vHMEC	NHEK_Epidermal_Keratinocytes
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	IMR90_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Breast_vHMEC
CD8_Memory_Primary_Cells	Fetal_Intestine_Large
Adult_Liver	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Aorta	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NH_A_Astrocytes	K562_Leukemia
Osteoblasts	HMEC_Mammary_Epithelial
H9_Derived_Neuron_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD19_Primary_Cells_Cord_BI	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Muscle_Satellite_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Osteoblasts
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Brain_Female
NHEK_Epidermal_Keratinocytes	Rectal_Smooth_Muscle
Peripheral_Blood_Mononuclear_Primary_Cells	Pancreatic_Islets
Brain_Anterior_Caudate	Right_Atrium
Sigmoid_Colon	A549_EtOH_0.02pct_Lung_Carcinoma
NHLF_Lung_Fibroblasts	Breast_Myoepithelial_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Aorta
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Brain_Angular_Gyrus	Psoas_Muscle
