(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Placenta_Amnion	HUVEC_Umbilical_Vein_Endothelial_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Stomach_Mucosa
4star	CD4_Memory_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	CD8_Memory_Primary_Cells
NHLF_Lung_Fibroblasts	Placenta_Amnion
Sigmoid_Colon	Rectal_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_15b_Cell_Line
Rectal_Mucosa.Donor_29	Muscle_Satellite_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Colonic_Mucosa
CD19_Primary_Cells_Cord_BI	NH_A_Astrocytes
Fetal_Kidney	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Lung	CD4_Naive_Primary_Cells
ES_I3_Cell_Line	Small_Intestine
iPS_15b_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Brain_Male	Right_Ventricle
HeLa_S3_Cervical_Carcinoma	Colon_Smooth_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Mid_Frontal_Lobe
CD34_Primary_Cells	H1_Cell_Line
H9_Cell_Line	Rectal_Mucosa.Donor_29
iPS_DF_6.9_Cell_Line	Osteoblasts
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Skeletal_Muscle_Female
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	iPS_20b_Cell_Line
Small_Intestine	Brain_Angular_Gyrus
Monocytes_CD14pp_RO01746	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Rectal_Mucosa.Donor_31
H1_Derived_Mesenchymal_Stem_Cells	iPS_DF_6.9_Cell_Line
H1_Cell_Line	Brain_Cingulate_Gyrus
CD8_Naive_Primary_Cells	HUES48_Cell_Line
Left_Ventricle	Brain_Substantia_Nigra
CD8_Memory_Primary_Cells	CD8_Naive_Primary_Cells
K562_Leukemia	HUES64_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Muscle_Trunk	Brain_Inferior_Temporal_Lobe
Peripheral_Blood_Mononuclear_Primary_Cells	HepG2_Hepatocellular_Carcinoma
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Fetal_Heart
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HUES64_Cell_Line	Psoas_Muscle
CD4pp_CD25__Th_Primary_Cells	iPS_18_Cell_Line
CD3_Primary_Cells_Peripheral_UW	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHEK_Epidermal_Keratinocytes	Left_Ventricle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Hippocampus_Middle
Rectal_Mucosa.Donor_31	Brain_Anterior_Caudate
Right_Atrium	Sigmoid_Colon
Fetal_Heart	Breast_vHMEC
NHDF_Ad_Adult_Dermal_Fibroblasts	Duodenum_Mucosa
NH_A_Astrocytes	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Brain_Angular_Gyrus	Gastric
Stomach_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Osteoblasts	Pancreatic_Islets
Brain_Inferior_Temporal_Lobe	Adult_Liver
Brain_Mid_Frontal_Lobe	Skeletal_Muscle_Male
Brain_Substantia_Nigra	Duodenum_Smooth_Muscle
