(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	HUES6_Cell_Line
H9_Derived_Neuron_Cultured_Cells	HUES48_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_20b_Cell_Line
Right_Atrium	iPS_18_Cell_Line
NHEK_Epidermal_Keratinocytes	HUES64_Cell_Line
HUVEC_Umbilical_Vein_Endothelial_Cells	H1_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Cell_Line
Muscle_Satellite_Cultured_Cells	ES_WA7_Cell_Line
HUES64_Cell_Line	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
K562_Leukemia	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
iPS_18_Cell_Line	ES_I3_Cell_Line
HUES48_Cell_Line	Fetal_Kidney
NHDF_Ad_Adult_Dermal_Fibroblasts	4star
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	HMEC_Mammary_Epithelial
GM12878_Lymphoblastoid	NH_A_Astrocytes
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Fetal_Muscle_Trunk
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Muscle_Leg	Fetal_Muscle_Leg
Osteoblasts	H9_Derived_Neuronal_Progenitor_Cultured_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	H9_Derived_Neuron_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	K562_Leukemia
Neurosphere_Cultured_Cells_Cortex_Derived	HSMM_Skeletal_Muscle_Myoblasts
Breast_vHMEC	iPS_DF_6.9_Cell_Line
HSMM_Skeletal_Muscle_Myoblasts	Breast_vHMEC
Dnd41_TCell_Leukemia	iPS_15b_Cell_Line
HMEC_Mammary_Epithelial	Fetal_Heart
CD3_Primary_Cells_Cord_BI	HUVEC_Umbilical_Vein_Endothelial_Cells
Mobilized_CD34_Primary_Cells_Female	Fetal_Brain_Male
CD15_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Heart	Fetal_Placenta
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Fetal_Lung
iPS_15b_Cell_Line	Psoas_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Fetal_Lung	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
CD4_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Mobilized_CD34_Primary_Cells_Male	Muscle_Satellite_Cultured_Cells
CD19_Primary_Cells_Cord_BI	Fetal_Thymus
HUES6_Cell_Line	Small_Intestine
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Osteoblasts
Adult_Liver	NHEK_Epidermal_Keratinocytes
CD8_Naive_Primary_Cells	CD34_Primary_Cells
CD4_Naive_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Adrenal_Gland	Pancreatic_Islets
Breast_Myoepithelial_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Muscle_Trunk	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HeLa_S3_Cervical_Carcinoma	Fetal_Adrenal_Gland
CD8_Memory_Primary_Cells	HeLa_S3_Cervical_Carcinoma
NH_A_Astrocytes	Left_Ventricle
Monocytes_CD14pp_RO01746	Sigmoid_Colon
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD34_Cultured_Cells	Rectal_Smooth_Muscle
Fetal_Intestine_Small	CD4_Memory_Primary_Cells
