(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Fetal_Kidney	Pancreas
Pancreatic_Islets	Gastric
iPS_20b_Cell_Line	Stomach_Mucosa
HUES48_Cell_Line	Placenta_Amnion
HUES64_Cell_Line	Aorta
iPS_18_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD4_Memory_Primary_Cells
Fetal_Heart	Right_Ventricle
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD8_Memory_Primary_Cells
Fetal_Brain_Male	Small_Intestine
Small_Intestine	Osteoblasts
iPS_15b_Cell_Line	CD4_Naive_Primary_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	NH_A_Astrocytes
Aorta	ES_WA7_Cell_Line
H9_Cell_Line	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Psoas_Muscle	Fetal_Heart
CD34_Primary_Cells	Muscle_Satellite_Cultured_Cells
ES_I3_Cell_Line	Rectal_Smooth_Muscle
NHDF_Ad_Adult_Dermal_Fibroblasts	NHLF_Lung_Fibroblasts
Fetal_Lung	HeLa_S3_Cervical_Carcinoma
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HUES6_Cell_Line	Brain_Angular_Gyrus
ES_WA7_Cell_Line	Psoas_Muscle
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD8_Memory_Primary_Cells	Right_Atrium
HeLa_S3_Cervical_Carcinoma	CD8_Naive_Primary_Cells
Pancreas	Brain_Mid_Frontal_Lobe
Duodenum_Smooth_Muscle	Colon_Smooth_Muscle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Rectal_Mucosa.Donor_29	NHDF_Ad_Adult_Dermal_Fibroblasts
Muscle_Satellite_Cultured_Cells	Brain_Cingulate_Gyrus
Osteoblasts	Skeletal_Muscle_Female
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Colonic_Mucosa
iPS_DF_6.9_Cell_Line	Brain_Substantia_Nigra
Fetal_Brain_Female	Brain_Inferior_Temporal_Lobe
CD4_Naive_Primary_Cells	Rectal_Mucosa.Donor_31
Brain_Angular_Gyrus	iPS_15b_Cell_Line
NH_A_Astrocytes	Brain_Anterior_Caudate
Peripheral_Blood_Mononuclear_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
K562_Leukemia	K562_Leukemia
GM12878_Lymphoblastoid	HMEC_Mammary_Epithelial
Placenta_Amnion	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Brain_Inferior_Temporal_Lobe	Left_Ventricle
Gastric	Fetal_Brain_Male
Brain_Anterior_Caudate	Rectal_Mucosa.Donor_29
Brain_Hippocampus_Middle	Fetal_Kidney
Colon_Smooth_Muscle	Sigmoid_Colon
Brain_Substantia_Nigra	HepG2_Hepatocellular_Carcinoma
CD4_Memory_Primary_Cells	Brain_Hippocampus_Middle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Breast_vHMEC	Skeletal_Muscle_Male
Rectal_Smooth_Muscle	iPS_18_Cell_Line
Ovary	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Pancreatic_Islets
Brain_Cingulate_Gyrus	Ovary
NHLF_Lung_Fibroblasts	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	HSMM_Skeletal_Muscle_Myoblasts
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	NHEK_Epidermal_Keratinocytes
Duodenum_Mucosa	CD4pp_CD25__Th_Primary_Cells
Brain_Mid_Frontal_Lobe	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Right_Atrium	Stomach_Smooth_Muscle
CD3_Primary_Cells_Cord_BI	Breast_vHMEC
Stomach_Smooth_Muscle	Peripheral_Blood_Mononuclear_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD3_Primary_Cells_Peripheral_UW
HepG2_Hepatocellular_Carcinoma	ES_I3_Cell_Line
Rectal_Mucosa.Donor_31	Duodenum_Mucosa
Thymus	Duodenum_Smooth_Muscle
Brain_Germinal_Matrix	Esophagus
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Cell_Line
Left_Ventricle	Spleen
Sigmoid_Colon	HUES48_Cell_Line
Adult_Liver	Thymus
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Adult_Liver
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Lung
H1_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
H9_Derived_Neuron_Cultured_Cells	CD56_Primary_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Lung
CD8_Naive_Primary_Cells	Fetal_Placenta
Fetal_Adrenal_Gland	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD19_Primary_Cells_Cord_BI	CD3_Primary_Cells_Cord_BI
4star	iPS_20b_Cell_Line
Skeletal_Muscle_Female	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	H1_Cell_Line
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD19_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	H9_Derived_Neuron_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Adipose_Nuclei
Fetal_Stomach	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	CD15_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HUES64_Cell_Line
IMR90_Cell_Line	Dnd41_TCell_Leukemia
Fetal_Intestine_Small	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD19_Primary_Cells_Cord_BI
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Fetal_Muscle_Trunk
HMEC_Mammary_Epithelial	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Esophagus	Fetal_Thymus
Adipose_Nuclei	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Skeletal_Muscle_Male	4star
Fetal_Muscle_Leg	CD34_Primary_Cells
Mobilized_CD34_Primary_Cells_Male	HUES6_Cell_Line
Stomach_Mucosa	CD34_Cultured_Cells
Breast_Myoepithelial_Cells	Mobilized_CD34_Primary_Cells_Female
Mobilized_CD34_Primary_Cells_Female	Neurosphere_Cultured_Cells_Cortex_Derived
Monocytes_CD14pp_RO01746	GM12878_Lymphoblastoid
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Fetal_Adrenal_Gland
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Breast_Myoepithelial_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Monocytes_CD14pp_RO01746
CD14_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Thymus	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Right_Ventricle	iPS_DF_19.11_Cell_Line
Colonic_Mucosa	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Fetal_Muscle_Trunk	Brain_Germinal_Matrix
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Intestine_Large
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Muscle_Leg
Lung	H1_Derived_Mesenchymal_Stem_Cells
CD34_Cultured_Cells	CD14_Primary_Cells
iPS_DF_19.11_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD19_Primary_Cells_Peripheral_UW	Fetal_Brain_Female
CD3_Primary_Cells_Peripheral_UW	IMR90_Cell_Line
Fetal_Placenta	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD56_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Dnd41_TCell_Leukemia	Fetal_Stomach
Spleen	Fetal_Intestine_Small
CD15_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
