(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD8_Naive_Primary_Cells	CD56_Primary_Cells
CD4_Memory_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
Dnd41_TCell_Leukemia	CD14_Primary_Cells
Gastric	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Pancreas	CD3_Primary_Cells_Peripheral_UW
H1_Derived_Mesenchymal_Stem_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Placenta_Amnion	CD34_Primary_Cells
CD4_Naive_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
CD19_Primary_Cells_Peripheral_UW	CD34_Cultured_Cells
Esophagus	CD19_Primary_Cells_Cord_BI
CD14_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Fetal_Adrenal_Gland	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	CD15_Primary_Cells
CD8_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Lung	Adipose_Nuclei
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Spleen	Skeletal_Muscle_Female
ES_I3_Cell_Line	Right_Atrium
HUES64_Cell_Line	Adult_Liver
4star	Fetal_Placenta
Stomach_Mucosa	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_DF_19.11_Cell_Line	Mobilized_CD34_Primary_Cells_Male
Fetal_Placenta	Fetal_Adrenal_Gland
HUVEC_Umbilical_Vein_Endothelial_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Fetal_Thymus	Monocytes_CD14pp_RO01746
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
H9_Cell_Line	Dnd41_TCell_Leukemia
Fetal_Intestine_Small	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Right_Ventricle	Fetal_Muscle_Leg
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	iPS_DF_19.11_Cell_Line
Fetal_Muscle_Leg	Placenta_Amnion
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Colon_Smooth_Muscle	CD8_Naive_Primary_Cells
Fetal_Stomach	Small_Intestine
HUES48_Cell_Line	Fetal_Thymus
iPS_18_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Sigmoid_Colon
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_6.9_Cell_Line
HeLa_S3_Cervical_Carcinoma	H1_Derived_Mesenchymal_Stem_Cells
CD3_Primary_Cells_Cord_BI	H9_Derived_Neuron_Cultured_Cells
Colonic_Mucosa	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Rectal_Mucosa.Donor_31
Fetal_Muscle_Trunk	Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Breast_vHMEC
H9_Derived_Neuron_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Rectal_Smooth_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Stomach_Mucosa
HUES6_Cell_Line	Brain_Germinal_Matrix
Sigmoid_Colon	4star
Brain_Mid_Frontal_Lobe	CD4_Memory_Primary_Cells
Right_Atrium	Fetal_Heart
Breast_Myoepithelial_Cells	Fetal_Stomach
iPS_20b_Cell_Line	Esophagus
iPS_15b_Cell_Line	Pancreas
Brain_Cingulate_Gyrus	Colonic_Mucosa
CD56_Primary_Cells	Fetal_Muscle_Trunk
Thymus	Skeletal_Muscle_Male
Fetal_Intestine_Large	NH_A_Astrocytes
Brain_Substantia_Nigra	HMEC_Mammary_Epithelial
H1_Cell_Line	Fetal_Lung
H9_Derived_Neuronal_Progenitor_Cultured_Cells	CD4_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	Spleen
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD8_Memory_Primary_Cells
Fetal_Lung	NHEK_Epidermal_Keratinocytes
Muscle_Satellite_Cultured_Cells	Gastric
Breast_vHMEC	Fetal_Intestine_Small
Skeletal_Muscle_Male	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Brain_Angular_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Left_Ventricle	Thymus
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
iPS_DF_6.9_Cell_Line	Fetal_Brain_Male
NH_A_Astrocytes	Muscle_Satellite_Cultured_Cells
Ovary	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Brain_Hippocampus_Middle	Fetal_Intestine_Large
HMEC_Mammary_Epithelial	Left_Ventricle
CD3_Primary_Cells_Peripheral_UW	IMR90_Cell_Line
Psoas_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Pancreatic_Islets	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Small_Intestine	H1_Cell_Line
Duodenum_Smooth_Muscle	ES_WA7_Cell_Line
IMR90_Cell_Line	Osteoblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Colon_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Right_Ventricle
Adult_Liver	Fetal_Kidney
Brain_Anterior_Caudate	Duodenum_Mucosa
K562_Leukemia	Brain_Substantia_Nigra
Brain_Germinal_Matrix	HSMM_Skeletal_Muscle_Myoblasts
CD15_Primary_Cells	Psoas_Muscle
NHLF_Lung_Fibroblasts	Stomach_Smooth_Muscle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	NHLF_Lung_Fibroblasts
Mobilized_CD34_Primary_Cells_Female	Fetal_Brain_Female
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Rectal_Mucosa.Donor_29
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Breast_Myoepithelial_Cells
Fetal_Brain_Female	Rectal_Smooth_Muscle
CD4pp_CD25__Th_Primary_Cells	Brain_Angular_Gyrus
Osteoblasts	HepG2_Hepatocellular_Carcinoma
CD34_Cultured_Cells	H9_Cell_Line
Duodenum_Mucosa	Brain_Cingulate_Gyrus
Peripheral_Blood_Mononuclear_Primary_Cells	Aorta
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Duodenum_Smooth_Muscle
Monocytes_CD14pp_RO01746	GM12878_Lymphoblastoid
Adipose_Nuclei	Brain_Mid_Frontal_Lobe
A549_EtOH_0.02pct_Lung_Carcinoma	iPS_18_Cell_Line
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Hippocampus_Middle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Inferior_Temporal_Lobe
Skeletal_Muscle_Female	K562_Leukemia
Mobilized_CD34_Primary_Cells_Male	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
ES_WA7_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	HUES48_Cell_Line
Stomach_Smooth_Muscle	NHDF_Ad_Adult_Dermal_Fibroblasts
Rectal_Mucosa.Donor_29	Brain_Anterior_Caudate
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Ovary
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
Fetal_Kidney	HUES64_Cell_Line
Aorta	iPS_15b_Cell_Line
NHDF_Ad_Adult_Dermal_Fibroblasts	HUES6_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Heart	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD19_Primary_Cells_Cord_BI	ES_I3_Cell_Line
GM12878_Lymphoblastoid	iPS_20b_Cell_Line
Fetal_Brain_Male	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Pancreatic_Islets
CD34_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
