(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Brain_Substantia_Nigra	iPS_15b_Cell_Line
Fetal_Muscle_Leg	H9_Cell_Line
Fetal_Placenta	iPS_DF_19.11_Cell_Line
Left_Ventricle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Brain_Anterior_Caudate	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Brain_Hippocampus_Middle	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Inferior_Temporal_Lobe	iPS_DF_6.9_Cell_Line
Fetal_Intestine_Small	Placenta_Amnion
ES_I3_Cell_Line	ES_WA7_Cell_Line
Pancreatic_Islets	ES_I3_Cell_Line
Fetal_Stomach	Spleen
Skeletal_Muscle_Male	HUES6_Cell_Line
Brain_Mid_Frontal_Lobe	HUES64_Cell_Line
CD8_Naive_Primary_Cells	Esophagus
Brain_Cingulate_Gyrus	HUES48_Cell_Line
Fetal_Muscle_Trunk	iPS_20b_Cell_Line
CD56_Primary_Cells	H1_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	4star
Fetal_Adrenal_Gland	Colon_Smooth_Muscle
GM12878_Lymphoblastoid	Rectal_Smooth_Muscle
CD19_Primary_Cells_Peripheral_UW	iPS_18_Cell_Line
Brain_Angular_Gyrus	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Colonic_Mucosa
A549_EtOH_0.02pct_Lung_Carcinoma	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Thymus	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Psoas_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Thymus
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Right_Ventricle
Breast_Myoepithelial_Cells	Duodenum_Smooth_Muscle
Duodenum_Smooth_Muscle	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
NHDF_Ad_Adult_Dermal_Fibroblasts	Stomach_Mucosa
Rectal_Smooth_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
NHLF_Lung_Fibroblasts	Fetal_Thymus
CD3_Primary_Cells_Peripheral_UW	Lung
Sigmoid_Colon	Ovary
iPS_DF_19.11_Cell_Line	Brain_Anterior_Caudate
iPS_20b_Cell_Line	Adult_Liver
Dnd41_TCell_Leukemia	CD4_Memory_Primary_Cells
HMEC_Mammary_Epithelial	Peripheral_Blood_Mononuclear_Primary_Cells
Right_Ventricle	Fetal_Intestine_Small
CD8_Memory_Primary_Cells	Mobilized_CD34_Primary_Cells_Female
Stomach_Mucosa	Sigmoid_Colon
K562_Leukemia	CD4pp_CD25__Th_Primary_Cells
Fetal_Intestine_Large	Fetal_Heart
Right_Atrium	Brain_Substantia_Nigra
Ovary	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Rectal_Mucosa.Donor_29	Mobilized_CD34_Primary_Cells_Male
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4_Naive_Primary_Cells
Skeletal_Muscle_Female	Brain_Hippocampus_Middle
IMR90_Cell_Line	Brain_Angular_Gyrus
CD34_Cultured_Cells	Rectal_Mucosa.Donor_29
HUES6_Cell_Line	Brain_Mid_Frontal_Lobe
H1_Cell_Line	HMEC_Mammary_Epithelial
Colonic_Mucosa	CD8_Memory_Primary_Cells
H1_Derived_Mesenchymal_Stem_Cells	Duodenum_Mucosa
CD14_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
iPS_DF_6.9_Cell_Line	CD34_Primary_Cells
Thymus	Rectal_Mucosa.Donor_31
Adult_Liver	Left_Ventricle
Small_Intestine	CD8_Naive_Primary_Cells
Duodenum_Mucosa	H1_Derived_Mesenchymal_Stem_Cells
CD4_Naive_Primary_Cells	Brain_Germinal_Matrix
Adipose_Nuclei	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
4star	Small_Intestine
Rectal_Mucosa.Donor_31	Brain_Cingulate_Gyrus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Intestine_Large
CD15_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Peripheral_Blood_Mononuclear_Primary_Cells	Brain_Inferior_Temporal_Lobe
H9_Cell_Line	Neurosphere_Cultured_Cells_Cortex_Derived
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD34_Cultured_Cells
Colon_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD15_Primary_Cells
CD4_Memory_Primary_Cells	Right_Atrium
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	NH_A_Astrocytes
Fetal_Brain_Female	Adipose_Nuclei
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	Fetal_Brain_Female
HepG2_Hepatocellular_Carcinoma	Fetal_Brain_Male
NHEK_Epidermal_Keratinocytes	Breast_Myoepithelial_Cells
iPS_15b_Cell_Line	Fetal_Kidney
Esophagus	CD3_Primary_Cells_Cord_BI
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Gastric	HSMM_Skeletal_Muscle_Myoblasts
HSMM_Skeletal_Muscle_Myoblasts	Stomach_Smooth_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Brain_Germinal_Matrix	Fetal_Lung
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Skeletal_Muscle_Female
Neurosphere_Cultured_Cells_Cortex_Derived	CD56_Primary_Cells
iPS_18_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
HUES48_Cell_Line	Fetal_Placenta
HUES64_Cell_Line	NHEK_Epidermal_Keratinocytes
Psoas_Muscle	H9_Derived_Neuron_Cultured_Cells
Stomach_Smooth_Muscle	Fetal_Muscle_Leg
Fetal_Kidney	A549_EtOH_0.02pct_Lung_Carcinoma
Mobilized_CD34_Primary_Cells_Female	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	NHLF_Lung_Fibroblasts
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Muscle_Satellite_Cultured_Cells	Breast_vHMEC
HeLa_S3_Cervical_Carcinoma	GM12878_Lymphoblastoid
Placenta_Amnion	CD19_Primary_Cells_Cord_BI
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Skeletal_Muscle_Male
CD19_Primary_Cells_Cord_BI	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Spleen	CD14_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Stomach
ES_WA7_Cell_Line	Fetal_Muscle_Trunk
H9_Derived_Neuron_Cultured_Cells	Gastric
Mobilized_CD34_Primary_Cells_Male	Fetal_Adrenal_Gland
NH_A_Astrocytes	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Fetal_Lung	Pancreatic_Islets
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD4pp_CD25pp_CD127__Treg_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Heart	NHDF_Ad_Adult_Dermal_Fibroblasts
Pancreas	Aorta
Lung	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Monocytes_CD14pp_RO01746	Muscle_Satellite_Cultured_Cells
CD3_Primary_Cells_Cord_BI	Osteoblasts
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Male	IMR90_Cell_Line
Osteoblasts	Monocytes_CD14pp_RO01746
Breast_vHMEC	CD3_Primary_Cells_Peripheral_UW
CD34_Primary_Cells	K562_Leukemia
HUVEC_Umbilical_Vein_Endothelial_Cells	Pancreas
Aorta	HepG2_Hepatocellular_Carcinoma
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Dnd41_TCell_Leukemia
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HeLa_S3_Cervical_Carcinoma
