(New) Cell Type	(Old) Cell Type
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
iPS_20b_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	HUES6_Cell_Line
iPS_15b_Cell_Line	iPS_20b_Cell_Line
iPS_DF_6.9_Cell_Line	HUES64_Cell_Line
ES_I3_Cell_Line	ES_I3_Cell_Line
HUES48_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUES64_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Fetal_Thymus	Placenta_Amnion
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H1_Cell_Line
H1_Cell_Line	ES_WA7_Cell_Line
H9_Cell_Line	iPS_15b_Cell_Line
HUES6_Cell_Line	HUES48_Cell_Line
iPS_18_Cell_Line	iPS_18_Cell_Line
4star	Fetal_Intestine_Small
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Thymus
Gastric	Fetal_Intestine_Large
HMEC_Mammary_Epithelial	iPS_DF_6.9_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Fetal_Thymus
NH_A_Astrocytes	Duodenum_Smooth_Muscle
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD15_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
HUVEC_Umbilical_Vein_Endothelial_Cells	Fetal_Muscle_Leg
Muscle_Satellite_Cultured_Cells	H9_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Rectal_Mucosa.Donor_29
Fetal_Brain_Female	iPS_DF_19.11_Cell_Line
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Germinal_Matrix
NHEK_Epidermal_Keratinocytes	H9_Derived_Neuronal_Progenitor_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	Stomach_Mucosa
Osteoblasts	H1_Derived_Mesenchymal_Stem_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Stomach
Neurosphere_Cultured_Cells_Cortex_Derived	CD34_Cultured_Cells
Fetal_Lung	NH_A_Astrocytes
CD34_Primary_Cells	Rectal_Mucosa.Donor_31
Brain_Anterior_Caudate	Fetal_Heart
CD15_Primary_Cells	CD3_Primary_Cells_Cord_BI
Rectal_Mucosa.Donor_31	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Germinal_Matrix	H9_Derived_Neuron_Cultured_Cells
K562_Leukemia	Colonic_Mucosa
Adult_Liver	NHEK_Epidermal_Keratinocytes
Mobilized_CD34_Primary_Cells_Female	CD14_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Skeletal_Muscle_Female
Duodenum_Smooth_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHDF_Ad_Adult_Dermal_Fibroblasts	Peripheral_Blood_Mononuclear_Primary_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colon_Smooth_Muscle
Fetal_Placenta	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD19_Primary_Cells_Peripheral_UW	Rectal_Smooth_Muscle
Adipose_Nuclei	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Duodenum_Mucosa	Skeletal_Muscle_Male
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Rectal_Mucosa.Donor_29	Small_Intestine
Mobilized_CD34_Primary_Cells_Male	Monocytes_CD14pp_RO01746
Stomach_Smooth_Muscle	Fetal_Kidney
CD19_Primary_Cells_Cord_BI	Fetal_Muscle_Trunk
CD14_Primary_Cells	Fetal_Adrenal_Gland
Brain_Substantia_Nigra	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Monocytes_CD14pp_RO01746	Fetal_Brain_Female
Fetal_Adrenal_Gland	NHLF_Lung_Fibroblasts
Brain_Inferior_Temporal_Lobe	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
iPS_DF_19.11_Cell_Line	Brain_Hippocampus_Middle
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Fetal_Heart	Mobilized_CD34_Primary_Cells_Female
CD3_Primary_Cells_Cord_BI	CD34_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Brain_Cingulate_Gyrus
NHLF_Lung_Fibroblasts	Stomach_Smooth_Muscle
Fetal_Intestine_Large	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Breast_vHMEC	Fetal_Lung
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Fetal_Brain_Male
Skeletal_Muscle_Male	Adipose_Nuclei
Colon_Smooth_Muscle	Fetal_Placenta
Fetal_Muscle_Trunk	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Muscle_Leg	Brain_Mid_Frontal_Lobe
Brain_Hippocampus_Middle	Brain_Inferior_Temporal_Lobe
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Breast_Myoepithelial_Cells	Brain_Angular_Gyrus
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD19_Primary_Cells_Cord_BI
Placenta_Amnion	Muscle_Satellite_Cultured_Cells
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
IMR90_Cell_Line	Brain_Substantia_Nigra
HeLa_S3_Cervical_Carcinoma	Spleen
Brain_Cingulate_Gyrus	Brain_Anterior_Caudate
CD4pp_CD25__Th_Primary_Cells	Osteoblasts
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
A549_EtOH_0.02pct_Lung_Carcinoma	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
CD56_Primary_Cells	IMR90_Cell_Line
Right_Atrium	Sigmoid_Colon
Skeletal_Muscle_Female	CD3_Primary_Cells_Peripheral_UW
H9_Derived_Neuron_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Lung	CD8_Memory_Primary_Cells
Fetal_Stomach	HSMM_Skeletal_Muscle_Myoblasts
CD34_Cultured_Cells	Right_Ventricle
Peripheral_Blood_Mononuclear_Primary_Cells	Left_Ventricle
Brain_Angular_Gyrus	NHDF_Ad_Adult_Dermal_Fibroblasts
H9_Derived_Neuronal_Progenitor_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD56_Primary_Cells
Spleen	Esophagus
Brain_Mid_Frontal_Lobe	Ovary
Fetal_Intestine_Small	CD4_Naive_Primary_Cells
Thymus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD3_Primary_Cells_Peripheral_UW	CD4_Memory_Primary_Cells
GM12878_Lymphoblastoid	Right_Atrium
CD4_Naive_Primary_Cells	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells	CD8_Naive_Primary_Cells
CD8_Naive_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Memory_Primary_Cells	HMEC_Mammary_Epithelial
Rectal_Smooth_Muscle	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Stomach_Mucosa	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Fetal_Kidney	HUVEC_Umbilical_Vein_Endothelial_Cells
Sigmoid_Colon	Psoas_Muscle
Pancreas	Breast_vHMEC
Left_Ventricle	GM12878_Lymphoblastoid
Ovary	Lung
Colonic_Mucosa	4star
Fetal_Brain_Male	Adult_Liver
Esophagus	Breast_Myoepithelial_Cells
CD8_Memory_Primary_Cells	Pancreatic_Islets
Right_Ventricle	A549_EtOH_0.02pct_Lung_Carcinoma
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	K562_Leukemia
Pancreatic_Islets	Dnd41_TCell_Leukemia
Aorta	HeLa_S3_Cervical_Carcinoma
ES_WA7_Cell_Line	Aorta
Psoas_Muscle	Gastric
Small_Intestine	Pancreas
