(New) Cell Type	(Old) Cell Type
H1_Cell_Line	H1_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	H9_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_DF_6.9_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	HUES48_Cell_Line
Brain_Mid_Frontal_Lobe	iPS_18_Cell_Line
Fetal_Heart	HUES6_Cell_Line
Right_Atrium	iPS_20b_Cell_Line
iPS_DF_6.9_Cell_Line	iPS_DF_19.11_Cell_Line
4star	HUES64_Cell_Line
H9_Derived_Neuronal_Progenitor_Cultured_Cells	ES_I3_Cell_Line
Fetal_Lung	iPS_15b_Cell_Line
H9_Derived_Neuron_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
HepG2_Hepatocellular_Carcinoma	ES_WA7_Cell_Line
Gastric	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
Pancreas	4star
iPS_DF_19.11_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Muscle_Leg	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Esophagus	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Rectal_Smooth_Muscle
Fetal_Muscle_Trunk	Spleen
ES_I3_Cell_Line	Colon_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Anterior_Caudate
Aorta	Brain_Substantia_Nigra
Brain_Substantia_Nigra	Esophagus
Placenta_Amnion	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Placenta_Amnion
CD4_Naive_Primary_Cells	Colonic_Mucosa
CD8_Memory_Primary_Cells	Brain_Angular_Gyrus
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	Brain_Mid_Frontal_Lobe
Brain_Inferior_Temporal_Lobe	Brain_Germinal_Matrix
Skeletal_Muscle_Female	Duodenum_Smooth_Muscle
CD14_Primary_Cells	CD8_Memory_Primary_Cells
Ovary	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Fetal_Placenta	Fetal_Intestine_Small
Brain_Angular_Gyrus	Psoas_Muscle
Stomach_Smooth_Muscle	Rectal_Mucosa.Donor_29
Lung	CD4_Memory_Primary_Cells
H9_Cell_Line	Brain_Hippocampus_Middle
Duodenum_Mucosa	Thymus
Fetal_Stomach	Duodenum_Mucosa
Skeletal_Muscle_Male	CD4_Naive_Primary_Cells
Rectal_Mucosa.Donor_29	Rectal_Mucosa.Donor_31
CD4_Memory_Primary_Cells	Right_Ventricle
Fetal_Thymus	Brain_Inferior_Temporal_Lobe
Adipose_Nuclei	Brain_Cingulate_Gyrus
Fetal_Kidney	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Fetal_Intestine_Large
Brain_Cingulate_Gyrus	Peripheral_Blood_Mononuclear_Primary_Cells
CD8_Naive_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Colonic_Mucosa	CD4pp_CD25__Th_Primary_Cells
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Fetal_Brain_Female
HUES6_Cell_Line	Fetal_Thymus
Brain_Germinal_Matrix	Stomach_Mucosa
Rectal_Smooth_Muscle	CD8_Naive_Primary_Cells
Brain_Anterior_Caudate	CD3_Primary_Cells_Cord_BI
Fetal_Adrenal_Gland	Sigmoid_Colon
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Breast_Myoepithelial_Cells	Ovary
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Lung
Fetal_Intestine_Large	CD34_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Fetal_Heart
Brain_Hippocampus_Middle	Adult_Liver
Mobilized_CD34_Primary_Cells_Female	Left_Ventricle
CD34_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Thymus	Fetal_Kidney
CD19_Primary_Cells_Peripheral_UW	NH_A_Astrocytes
IMR90_Cell_Line	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	CD34_Cultured_Cells
CD56_Primary_Cells	Skeletal_Muscle_Female
Stomach_Mucosa	Stomach_Smooth_Muscle
Fetal_Brain_Female	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Adult_Liver	Adipose_Nuclei
CD4pp_CD25__Th_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
HMEC_Mammary_Epithelial	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Mobilized_CD34_Primary_Cells_Male
Mobilized_CD34_Primary_Cells_Male	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD19_Primary_Cells_Peripheral_UW
CD3_Primary_Cells_Peripheral_UW	HMEC_Mammary_Epithelial
Sigmoid_Colon	Mobilized_CD34_Primary_Cells_Female
CD19_Primary_Cells_Cord_BI	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Brain_Male
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Lung
Right_Ventricle	GM12878_Lymphoblastoid
Spleen	NHEK_Epidermal_Keratinocytes
Fetal_Brain_Male	H9_Derived_Neuron_Cultured_Cells
Fetal_Intestine_Small	Neurosphere_Cultured_Cells_Cortex_Derived
CD3_Primary_Cells_Cord_BI	CD15_Primary_Cells
iPS_15b_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
NH_A_Astrocytes	Small_Intestine
CD34_Cultured_Cells	Fetal_Stomach
HSMM_Skeletal_Muscle_Myoblasts	Breast_Myoepithelial_Cells
Duodenum_Smooth_Muscle	CD56_Primary_Cells
Left_Ventricle	NHLF_Lung_Fibroblasts
Colon_Smooth_Muscle	Fetal_Muscle_Leg
Psoas_Muscle	CD19_Primary_Cells_Cord_BI
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Skeletal_Muscle_Male
GM12878_Lymphoblastoid	Fetal_Placenta
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
ES_WA7_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Trunk
iPS_18_Cell_Line	A549_EtOH_0.02pct_Lung_Carcinoma
NHLF_Lung_Fibroblasts	CD14_Primary_Cells
K562_Leukemia	Monocytes_CD14pp_RO01746
Muscle_Satellite_Cultured_Cells	Fetal_Adrenal_Gland
Osteoblasts	IMR90_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Monocytes_CD14pp_RO01746	Osteoblasts
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Muscle_Satellite_Cultured_Cells
Small_Intestine	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
HUES48_Cell_Line	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Right_Atrium
HeLa_S3_Cervical_Carcinoma	Pancreatic_Islets
HUVEC_Umbilical_Vein_Endothelial_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	CD3_Primary_Cells_Peripheral_UW
iPS_20b_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
CD15_Primary_Cells	Breast_vHMEC
HUES64_Cell_Line	Gastric
A549_EtOH_0.02pct_Lung_Carcinoma	HepG2_Hepatocellular_Carcinoma
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Dnd41_TCell_Leukemia
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Aorta
Dnd41_TCell_Leukemia	K562_Leukemia
