(New) Cell Type	(Old) Cell Type
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Small_Intestine	HUES64_Cell_Line
H1_Derived_Mesenchymal_Stem_Cells	iPS_20b_Cell_Line
iPS_DF_6.9_Cell_Line	iPS_18_Cell_Line
Breast_vHMEC	H9_Cell_Line
CD34_Cultured_Cells	iPS_DF_6.9_Cell_Line
Aorta	4star
Sigmoid_Colon	HUES48_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Stomach_Mucosa	ES_I3_Cell_Line
Psoas_Muscle	iPS_DF_19.11_Cell_Line
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	HUES6_Cell_Line
Spleen	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HSMM_Skeletal_Muscle_Myoblasts	H1_Cell_Line
Brain_Substantia_Nigra	iPS_15b_Cell_Line
Lung	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
NHLF_Lung_Fibroblasts	Placenta_Amnion
Gastric	Brain_Germinal_Matrix
Left_Ventricle	Brain_Substantia_Nigra
Right_Atrium	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Peripheral_Blood_Mononuclear_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	Spleen
Brain_Angular_Gyrus	Fetal_Brain_Female
Adult_Liver	Esophagus
Colon_Smooth_Muscle	Brain_Anterior_Caudate
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Ovary
ES_WA7_Cell_Line	Fetal_Brain_Male
Rectal_Smooth_Muscle	Brain_Hippocampus_Middle
Placenta_Amnion	Brain_Mid_Frontal_Lobe
Right_Ventricle	Neurosphere_Cultured_Cells_Cortex_Derived
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Duodenum_Smooth_Muscle
Ovary	H1_Derived_Mesenchymal_Stem_Cells
Brain_Anterior_Caudate	ES_WA7_Cell_Line
