(New) Cell Type	(Old) Cell Type
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
iPS_18_Cell_Line	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
H9_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
H1_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
HUES64_Cell_Line	iPS_DF_6.9_Cell_Line
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	iPS_DF_19.11_Cell_Line
iPS_DF_19.11_Cell_Line	H9_Cell_Line
iPS_20b_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	H1_Cell_Line
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	HUES64_Cell_Line
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	ES_I3_Cell_Line
Mobilized_CD34_Primary_Cells_Female	Thymus
Osteoblasts	ES_WA7_Cell_Line
Mobilized_CD34_Primary_Cells_Male	HUES48_Cell_Line
HUES48_Cell_Line	iPS_15b_Cell_Line
Monocytes_CD14pp_RO01746	Colon_Smooth_Muscle
CD15_Primary_Cells	iPS_18_Cell_Line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_20b_Cell_Line
CD14_Primary_Cells	Brain_Germinal_Matrix
HUES6_Cell_Line	Fetal_Thymus
Adipose_Nuclei	HUES6_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Rectal_Smooth_Muscle
iPS_15b_Cell_Line	Duodenum_Smooth_Muscle
H9_Derived_Neuron_Cultured_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Peripheral_Blood_Mononuclear_Primary_Cells
HepG2_Hepatocellular_Carcinoma	Rectal_Mucosa.Donor_29
Fetal_Lung	Brain_Anterior_Caudate
Fetal_Adrenal_Gland	Brain_Angular_Gyrus
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_31
Neurosphere_Cultured_Cells_Cortex_Derived	Esophagus
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Brain_Substantia_Nigra
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Colonic_Mucosa
HMEC_Mammary_Epithelial	Duodenum_Mucosa
Adult_Liver	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Fetal_Intestine_Small
ES_I3_Cell_Line	Fetal_Kidney
CD19_Primary_Cells_Peripheral_UW	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Thymus	4star
4star	Stomach_Mucosa
NHDF_Ad_Adult_Dermal_Fibroblasts	CD4_Naive_Primary_Cells
Gastric	Brain_Inferior_Temporal_Lobe
Fetal_Muscle_Leg	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Skeletal_Muscle_Female	CD4_Memory_Primary_Cells
IMR90_Cell_Line	Brain_Cingulate_Gyrus
Stomach_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Spleen
Skeletal_Muscle_Male	Sigmoid_Colon
NHEK_Epidermal_Keratinocytes	Fetal_Brain_Female
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Hippocampus_Middle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Small_Intestine
Duodenum_Smooth_Muscle	Fetal_Intestine_Large
Duodenum_Mucosa	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
K562_Leukemia	Fetal_Heart
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4pp_CD25__Th_Primary_Cells
NH_A_Astrocytes	Psoas_Muscle
GM12878_Lymphoblastoid	CD8_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	CD8_Memory_Primary_Cells
