(New) Cell Type	(Old) Cell Type
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Gastric	Fetal_Stomach
iPS_DF_6.9_Cell_Line	Fetal_Muscle_Leg
Fetal_Kidney	IMR90_Cell_Line
Esophagus	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
CD15_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Colonic_Mucosa	Fetal_Muscle_Trunk
Placenta_Amnion	Fetal_Adrenal_Gland
Fetal_Brain_Male	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Rectal_Smooth_Muscle	Fetal_Intestine_Large
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Right_Ventricle	Fetal_Lung
CD8_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
CD56_Primary_Cells	Stomach_Smooth_Muscle
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H9_Derived_Neuron_Cultured_Cells
CD14_Primary_Cells	Sigmoid_Colon
Stomach_Mucosa	4star
H9_Cell_Line	Ovary
Mobilized_CD34_Primary_Cells_Female	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Pancreas	Lung
Lung	Thymus
HeLa_S3_Cervical_Carcinoma	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Mid_Frontal_Lobe	CD34_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Duodenum_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Monocytes_CD14pp_RO01746	Fetal_Brain_Female
HUES64_Cell_Line	Adipose_Nuclei
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	NHEK_Epidermal_Keratinocytes
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
HUES48_Cell_Line	Duodenum_Mucosa
CD19_Primary_Cells_Peripheral_UW	Rectal_Mucosa.Donor_29
CD4_Naive_Primary_Cells	HUES6_Cell_Line
H9_Derived_Neuron_Cultured_Cells	Brain_Anterior_Caudate
Pancreatic_Islets	Brain_Hippocampus_Middle
Mobilized_CD34_Primary_Cells_Male	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Muscle_Trunk	Brain_Inferior_Temporal_Lobe
Right_Atrium	Brain_Germinal_Matrix
Dnd41_TCell_Leukemia	Mobilized_CD34_Primary_Cells_Male
CD3_Primary_Cells_Peripheral_UW	Osteoblasts
Fetal_Thymus	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	NHLF_Lung_Fibroblasts
Fetal_Adrenal_Gland	HUES64_Cell_Line
Brain_Angular_Gyrus	HepG2_Hepatocellular_Carcinoma
Fetal_Brain_Female	H1_Cell_Line
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
iPS_20b_Cell_Line	iPS_20b_Cell_Line
ES_WA7_Cell_Line	Muscle_Satellite_Cultured_Cells
Fetal_Placenta	Skeletal_Muscle_Female
HUES6_Cell_Line	iPS_18_Cell_Line
Thymus	Rectal_Mucosa.Donor_31
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Spleen	Brain_Cingulate_Gyrus
IMR90_Cell_Line	Spleen
Brain_Germinal_Matrix	HUES48_Cell_Line
Fetal_Stomach	Skeletal_Muscle_Male
Rectal_Mucosa.Donor_29	Brain_Mid_Frontal_Lobe
ES_I3_Cell_Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	GM12878_Lymphoblastoid
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Smooth_Muscle
CD4_Memory_Primary_Cells	Fetal_Placenta
iPS_15b_Cell_Line	Gastric
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Brain_Angular_Gyrus
CD8_Naive_Primary_Cells	H9_Cell_Line
4star	NH_A_Astrocytes
Psoas_Muscle	Fetal_Thymus
CD34_Cultured_Cells	Esophagus
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Pancreas
Stomach_Smooth_Muscle	Mobilized_CD34_Primary_Cells_Female
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Kidney
HepG2_Hepatocellular_Carcinoma	Colonic_Mucosa
Breast_Myoepithelial_Cells	Dnd41_TCell_Leukemia
NHLF_Lung_Fibroblasts	Brain_Substantia_Nigra
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Adult_Liver
iPS_18_Cell_Line	Colon_Smooth_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Lung	Right_Ventricle
Duodenum_Smooth_Muscle	HeLa_S3_Cervical_Carcinoma
Peripheral_Blood_Mononuclear_Primary_Cells	HMEC_Mammary_Epithelial
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	ES_I3_Cell_Line
Colon_Smooth_Muscle	Left_Ventricle
Adult_Liver	iPS_15b_Cell_Line
Fetal_Muscle_Leg	CD3_Primary_Cells_Peripheral_UW
CD34_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Rectal_Mucosa.Donor_31	K562_Leukemia
H1_Cell_Line	iPS_DF_6.9_Cell_Line
Ovary	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Fetal_Heart	CD19_Primary_Cells_Peripheral_UW
Fetal_Intestine_Large	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
