(New) Cell Type	(Old) Cell Type
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Aorta	Pancreas
H9_Cell_Line	Stomach_Mucosa
Psoas_Muscle	Placenta_Amnion
HUES48_Cell_Line	Gastric
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
Duodenum_Mucosa	Small_Intestine
Brain_Angular_Gyrus	NHLF_Lung_Fibroblasts
Brain_Inferior_Temporal_Lobe	Right_Ventricle
iPS_DF_6.9_Cell_Line	CD4_Memory_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	NH_A_Astrocytes
iPS_18_Cell_Line	Colonic_Mucosa
Brain_Substantia_Nigra	CD8_Memory_Primary_Cells
Rectal_Mucosa.Donor_29	Osteoblasts
Fetal_Brain_Female	Brain_Mid_Frontal_Lobe
CD4_Naive_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
HUES6_Cell_Line	Rectal_Smooth_Muscle
Brain_Germinal_Matrix	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Lung	Muscle_Satellite_Cultured_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Colon_Smooth_Muscle
Gastric	iPS_DF_6.9_Cell_Line
Esophagus	Rectal_Mucosa.Donor_29
Brain_Hippocampus_Middle	Aorta
K562_Leukemia	HeLa_S3_Cervical_Carcinoma
Pancreas	CD4_Naive_Primary_Cells
CD8_Memory_Primary_Cells	Skeletal_Muscle_Female
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Rectal_Mucosa.Donor_31
NH_A_Astrocytes	Brain_Angular_Gyrus
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Cingulate_Gyrus
CD4_Memory_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Ovary	CD8_Naive_Primary_Cells
Rectal_Mucosa.Donor_31	iPS_15b_Cell_Line
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Small_Intestine	Brain_Substantia_Nigra
HepG2_Hepatocellular_Carcinoma	Fetal_Kidney
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Skeletal_Muscle_Male
Brain_Mid_Frontal_Lobe	Brain_Inferior_Temporal_Lobe
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
HUES64_Cell_Line	Fetal_Heart
Fetal_Brain_Male	Peripheral_Blood_Mononuclear_Primary_Cells
Right_Atrium	HMEC_Mammary_Epithelial
Rectal_Smooth_Muscle	Sigmoid_Colon
Fetal_Kidney	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
ES_I3_Cell_Line	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Psoas_Muscle
Brain_Cingulate_Gyrus	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Brain_Anterior_Caudate	Fetal_Brain_Male
Osteoblasts	HepG2_Hepatocellular_Carcinoma
CD8_Naive_Primary_Cells	Esophagus
iPS_15b_Cell_Line	HSMM_Skeletal_Muscle_Myoblasts
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NHEK_Epidermal_Keratinocytes
Thymus	Duodenum_Mucosa
Duodenum_Smooth_Muscle	CD15_Primary_Cells
Muscle_Satellite_Cultured_Cells	Brain_Anterior_Caudate
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Left_Ventricle
Fetal_Adrenal_Gland	H9_Cell_Line
Stomach_Smooth_Muscle	Right_Atrium
Fetal_Heart	Fetal_Placenta
H1_Cell_Line	Ovary
4star	H1_Cell_Line
Skeletal_Muscle_Female	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Pancreatic_Islets
HSMM_Skeletal_Muscle_Myoblasts	Fetal_Muscle_Trunk
Fetal_Muscle_Leg	Brain_Hippocampus_Middle
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	K562_Leukemia
Adult_Liver	Spleen
Skeletal_Muscle_Male	CD3_Primary_Cells_Peripheral_UW
HeLa_S3_Cervical_Carcinoma	Fetal_Lung
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
NHEK_Epidermal_Keratinocytes	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	ES_WA7_Cell_Line
iPS_20b_Cell_Line	Thymus
CD34_Primary_Cells	CD56_Primary_Cells
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Sigmoid_Colon	Brain_Germinal_Matrix
Adipose_Nuclei	iPS_18_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Stomach_Smooth_Muscle
