(New) Cell Type	(Old) Cell Type
H9_Cell_Line	H9_Cell_Line
Aorta	H1_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	iPS_18_Cell_Line
Psoas_Muscle	iPS_15b_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	HUES48_Cell_Line
HUES48_Cell_Line	HUES6_Cell_Line
CD4_Naive_Primary_Cells	iPS_20b_Cell_Line
Fetal_Brain_Female	iPS_DF_6.9_Cell_Line
K562_Leukemia	ES_I3_Cell_Line
CD8_Memory_Primary_Cells	HUES64_Cell_Line
iPS_18_Cell_Line	4star
NH_A_Astrocytes	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Duodenum_Mucosa	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Hippocampus_Middle	Fetal_Brain_Female
Rectal_Mucosa.Donor_29	HMEC_Mammary_Epithelial
Brain_Inferior_Temporal_Lobe	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	NH_A_Astrocytes
CD4_Memory_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Germinal_Matrix	Duodenum_Mucosa
HUES6_Cell_Line	Rectal_Mucosa.Donor_29
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H9_Derived_Neuronal_Progenitor_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
Brain_Angular_Gyrus	Breast_Myoepithelial_Cells
iPS_DF_6.9_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
Fetal_Lung	HeLa_S3_Cervical_Carcinoma
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	HepG2_Hepatocellular_Carcinoma
Osteoblasts	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	NHLF_Lung_Fibroblasts
Gastric	Osteoblasts
Rectal_Mucosa.Donor_31	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Small_Intestine	Muscle_Satellite_Cultured_Cells
HUES64_Cell_Line	Fetal_Kidney
Fetal_Brain_Male	Rectal_Smooth_Muscle
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Brain_Germinal_Matrix
Brain_Substantia_Nigra	Stomach_Smooth_Muscle
Muscle_Satellite_Cultured_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Pancreas	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	NHEK_Epidermal_Keratinocytes
HepG2_Hepatocellular_Carcinoma	HSMM_Skeletal_Muscle_Myoblasts
Rectal_Smooth_Muscle	CD34_Cultured_Cells
Fetal_Kidney	Mobilized_CD34_Primary_Cells_Male
Brain_Mid_Frontal_Lobe	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD8_Naive_Primary_Cells	Skeletal_Muscle_Female
Ovary	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
iPS_15b_Cell_Line	Brain_Anterior_Caudate
Brain_Cingulate_Gyrus	A549_EtOH_0.02pct_Lung_Carcinoma
ES_I3_Cell_Line	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Duodenum_Smooth_Muscle	Duodenum_Smooth_Muscle
Fetal_Adrenal_Gland	Fetal_Lung
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	K562_Leukemia
Brain_Anterior_Caudate	Brain_Mid_Frontal_Lobe
Thymus	NHDF_Ad_Adult_Dermal_Fibroblasts
Right_Atrium	Colonic_Mucosa
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Esophagus	Neurosphere_Cultured_Cells_Cortex_Derived
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Brain_Cingulate_Gyrus
Fetal_Heart	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
NHEK_Epidermal_Keratinocytes	Rectal_Mucosa.Donor_31
Stomach_Smooth_Muscle	Fetal_Brain_Male
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Brain_Angular_Gyrus
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	Brain_Hippocampus_Middle
HSMM_Skeletal_Muscle_Myoblasts	Sigmoid_Colon
iPS_20b_Cell_Line	Brain_Inferior_Temporal_Lobe
A549_EtOH_0.02pct_Lung_Carcinoma	Gastric
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Fetal_Intestine_Large
HeLa_S3_Cervical_Carcinoma	Esophagus
Adult_Liver	Brain_Substantia_Nigra
Skeletal_Muscle_Female	GM12878_Lymphoblastoid
H1_Cell_Line	IMR90_Cell_Line
CD34_Primary_Cells	CD34_Primary_Cells
Fetal_Muscle_Leg	Skeletal_Muscle_Male
4star	Colon_Smooth_Muscle
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Adipose_Nuclei
CD3_Primary_Cells_Cord_BI	Dnd41_TCell_Leukemia
Skeletal_Muscle_Male	Lung
Colon_Smooth_Muscle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
ES_WA7_Cell_Line	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Placenta_Amnion
Sigmoid_Colon	Pancreas
HMEC_Mammary_Epithelial	Fetal_Adrenal_Gland
GM12878_Lymphoblastoid	Thymus
Fetal_Thymus	Fetal_Intestine_Small
Pancreatic_Islets	Right_Ventricle
Adipose_Nuclei	Mobilized_CD34_Primary_Cells_Female
Left_Ventricle	Ovary
H9_Derived_Neuron_Cultured_Cells	Fetal_Muscle_Leg
NHDF_Ad_Adult_Dermal_Fibroblasts	Fetal_Muscle_Trunk
CD14_Primary_Cells	iPS_DF_19.11_Cell_Line
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Left_Ventricle
NHLF_Lung_Fibroblasts	Fetal_Stomach
Fetal_Muscle_Trunk	Fetal_Placenta
Lung	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	ES_WA7_Cell_Line
IMR90_Cell_Line	Peripheral_Blood_Mononuclear_Primary_Cells
Colonic_Mucosa	Fetal_Thymus
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Intestine_Large	Spleen
Breast_Myoepithelial_Cells	Breast_vHMEC
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H1_Derived_Mesenchymal_Stem_Cells
Fetal_Stomach	Monocytes_CD14pp_RO01746
iPS_DF_19.11_Cell_Line	Aorta
Mobilized_CD34_Primary_Cells_Female	Small_Intestine
Mobilized_CD34_Primary_Cells_Male	CD4_Memory_Primary_Cells
Placenta_Amnion	CD19_Primary_Cells_Cord_BI
CD19_Primary_Cells_Cord_BI	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
CD19_Primary_Cells_Peripheral_UW	Fetal_Heart
H1_Derived_Mesenchymal_Stem_Cells	Psoas_Muscle
Fetal_Placenta	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD4_Naive_Primary_Cells
Stomach_Mucosa	CD8_Memory_Primary_Cells
CD4pp_CD25pp_CD127__Treg_Primary_Cells	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD34_Cultured_Cells	Stomach_Mucosa
CD3_Primary_Cells_Peripheral_UW	CD3_Primary_Cells_Peripheral_UW
Right_Ventricle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Intestine_Small	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Adult_Liver
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	CD8_Naive_Primary_Cells
CD56_Primary_Cells	CD14_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	CD4pp_CD25__Th_Primary_Cells
Monocytes_CD14pp_RO01746	CD15_Primary_Cells
Spleen	CD56_Primary_Cells
Breast_vHMEC	CD19_Primary_Cells_Peripheral_UW
CD4pp_CD25__Th_Primary_Cells	Right_Atrium
Dnd41_TCell_Leukemia	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
CD15_Primary_Cells	Pancreatic_Islets
