(New) Cell Type	(Old) Cell Type
H9_Cell_Line	H9_Cell_Line
H1_Cell_Line	iPS_DF_6.9_Cell_Line
CD19_Primary_Cells_Peripheral_UW	iPS_DF_19.11_Cell_Line
Gastric	ES_WA7_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	H1_Cell_Line
CD14_Primary_Cells	HUES48_Cell_Line
CD56_Primary_Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
iPS_DF_6.9_Cell_Line	HUES64_Cell_Line
CD8_Naive_Primary_Cells	ES_I3_Cell_Line
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	iPS_20b_Cell_Line
Dnd41_TCell_Leukemia	iPS_15b_Cell_Line
CD3_Primary_Cells_Peripheral_UW	HUES6_Cell_Line
Adult_Liver	iPS_18_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
GM12878_Lymphoblastoid	4star
iPS_DF_19.11_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD34_Cultured_Cells	Spleen
Breast_Myoepithelial_Cells	Esophagus
4star	Rectal_Smooth_Muscle
HepG2_Hepatocellular_Carcinoma	Placenta_Amnion
Fetal_Muscle_Leg	Colon_Smooth_Muscle
Ovary	Brain_Anterior_Caudate
Fetal_Thymus	CD4_Memory_Primary_Cells
HMEC_Mammary_Epithelial	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Fetal_Adrenal_Gland	Thymus
H1_Derived_Mesenchymal_Stem_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Brain_Substantia_Nigra
Left_Ventricle	Brain_Angular_Gyrus
CD15_Primary_Cells	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
iPS_20b_Cell_Line	Psoas_Muscle
Fetal_Intestine_Small	CD4_Naive_Primary_Cells
ES_I3_Cell_Line	Colonic_Mucosa
