(New) Chromatin State	(Old) Chromatin State
Active_TSS	Flanking_Active_TSS
Bivalent_Poised_TSS	Active_TSS
Repressed_PolyComb	Bivalent_Poised_TSS
Genic_enhancers	Flanking_Bivalent_TSS_Enh
Transcr_at_gene_5_and_3	Transcr_at_gene_5_and_3
Enhancers	Bivalent_Enhancer
ZNF_genes_and_repeats	Enhancers
Flanking_Active_TSS	Repressed_PolyComb
Bivalent_Enhancer	ZNF_genes_and_repeats
Flanking_Bivalent_TSS_Enh	Weak_transcription
Strong_transcription	Weak_Repressed_PolyComb
Heterochromatin	Genic_enhancers
Weak_transcription	Heterochromatin
Weak_Repressed_PolyComb	Quiescent_Low
Quiescent_Low	Strong_transcription
