(New) Cell Type	(Old) Cell Type
H9_Derived_Neuron_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
iPS_DF_19.11_Cell_Line	H1_Derived_Neuronal_Progenitor_Cultured_Cells
iPS_DF_6.9_Cell_Line	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4_Naive_Primary_Cells	Brain_Anterior_Caudate
Fetal_Lung	Brain_Angular_Gyrus
CD8_Memory_Primary_Cells	Brain_Substantia_Nigra
Fetal_Heart	Brain_Mid_Frontal_Lobe
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Brain_Cingulate_Gyrus
CD4_Memory_Primary_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
H1_Cell_Line	Colon_Smooth_Muscle
Mobilized_CD34_Primary_Cells_Female	Brain_Inferior_Temporal_Lobe
Fetal_Placenta	Brain_Hippocampus_Middle
HepG2_Hepatocellular_Carcinoma	H9_Cell_Line
Fetal_Muscle_Trunk	Duodenum_Smooth_Muscle
Colonic_Mucosa	iPS_DF_19.11_Cell_Line
H1_Derived_Neuronal_Progenitor_Cultured_Cells	Placenta_Amnion
CD34_Primary_Cells	CD4_Memory_Primary_Cells
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Ovary
Right_Atrium	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Pancreas	iPS_DF_6.9_Cell_Line
Skeletal_Muscle_Male	Rectal_Smooth_Muscle
CD14_Primary_Cells	Spleen
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NH_A_Astrocytes
