(New) Chromatin State	(Old) Chromatin State
Enhancers	Enhancers
Genic_enhancers	Flanking_Active_TSS
ZNF_genes_and_repeats	Weak_transcription
Transcr_at_gene_5_and_3	Quiescent_Low
Repressed_PolyComb	Bivalent_Enhancer
Heterochromatin	Active_TSS
Active_TSS	Genic_enhancers
Flanking_Active_TSS	Repressed_PolyComb
Strong_transcription	Weak_Repressed_PolyComb
Bivalent_Enhancer	Transcr_at_gene_5_and_3
Bivalent_Poised_TSS	Flanking_Bivalent_TSS_Enh
Weak_transcription	Bivalent_Poised_TSS
Flanking_Bivalent_TSS_Enh	ZNF_genes_and_repeats
Weak_Repressed_PolyComb	Strong_transcription
Quiescent_Low	Heterochromatin
