(New) Cell Type	(Old) Cell Type
HMEC_Mammary_Epithelial	HMEC_Mammary_Epithelial
Colonic_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
IMR90_Cell_Line	Placenta_Amnion
Ovary	Ovary
Breast_vHMEC	Esophagus
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Left_Ventricle	HSMM_Skeletal_Muscle_Myoblasts
Adipose_Nuclei	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
H1_Derived_Mesenchymal_Stem_Cells	Breast_Myoepithelial_Cells
CD8_Memory_Primary_Cells	Spleen
CD4_Naive_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Lung	Right_Ventricle
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Breast_vHMEC
Muscle_Satellite_Cultured_Cells	Colonic_Mucosa
Fetal_Intestine_Large	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Esophagus	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Mobilized_CD34_Primary_Cells_Female
iPS_DF_19.11_Cell_Line	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Fetal_Brain_Female	NHEK_Epidermal_Keratinocytes
Breast_Myoepithelial_Cells	Duodenum_Smooth_Muscle
Duodenum_Smooth_Muscle	Adipose_Nuclei
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Psoas_Muscle
CD56_Primary_Cells	Brain_Hippocampus_Middle
Monocytes_CD14pp_RO01746	Mobilized_CD34_Primary_Cells_Male
Right_Ventricle	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Colon_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
CD19_Primary_Cells_Peripheral_UW	Stomach_Smooth_Muscle
Sigmoid_Colon	iPS_DF_19.11_Cell_Line
Fetal_Placenta	A549_EtOH_0.02pct_Lung_Carcinoma
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	iPS_DF_6.9_Cell_Line
Brain_Mid_Frontal_Lobe	Left_Ventricle
Spleen	Rectal_Smooth_Muscle
Brain_Hippocampus_Middle	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Rectal_Mucosa.Donor_29	Neurosphere_Cultured_Cells_Cortex_Derived
K562_Leukemia	Lung
