(New) Cell Type	(Old) Cell Type
HMEC_Mammary_Epithelial	HMEC_Mammary_Epithelial
CD19_Primary_Cells_Cord_BI	NHEK_Epidermal_Keratinocytes
Breast_vHMEC	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Fetal_Heart	Breast_vHMEC
HepG2_Hepatocellular_Carcinoma	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Mobilized_CD34_Primary_Cells_Female	Muscle_Satellite_Cultured_Cells
Breast_Myoepithelial_Cells	NH_A_Astrocytes
CD4pp_CD25pp_CD127__Treg_Primary_Cells	HeLa_S3_Cervical_Carcinoma
Neurosphere_Cultured_Cells_Cortex_Derived	Osteoblasts
CD15_Primary_Cells	HSMM_Skeletal_Muscle_Myoblasts
CD3_Primary_Cells_Cord_BI	A549_EtOH_0.02pct_Lung_Carcinoma
Dnd41_TCell_Leukemia	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Adult_Liver	NHLF_Lung_Fibroblasts
CD19_Primary_Cells_Peripheral_UW	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD34_Cultured_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Intestine_Large	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	Breast_Myoepithelial_Cells
HUES6_Cell_Line	NHDF_Ad_Adult_Dermal_Fibroblasts
K562_Leukemia	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Memory_Primary_Cells	IMR90_Cell_Line
CD8_Naive_Primary_Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Muscle_Leg	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells	Duodenum_Smooth_Muscle
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	Rectal_Mucosa.Donor_29
CD4_Naive_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Fetal_Adrenal_Gland	HUVEC_Umbilical_Vein_Endothelial_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Esophagus
HSMM_Skeletal_Muscle_Myoblasts	Stomach_Smooth_Muscle
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Duodenum_Mucosa
Fetal_Intestine_Small	Colonic_Mucosa
Muscle_Satellite_Cultured_Cells	Rectal_Smooth_Muscle
CD56_Primary_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
NHEK_Epidermal_Keratinocytes	Rectal_Mucosa.Donor_31
NHDF_Ad_Adult_Dermal_Fibroblasts	Placenta_Amnion
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	Skeletal_Muscle_Male
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Right_Atrium
CD4pp_CD25__Th_Primary_Cells	ES_I3_Cell_Line
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Fetal_Intestine_Small
CD14_Primary_Cells	Colon_Smooth_Muscle
A549_EtOH_0.02pct_Lung_Carcinoma	Stomach_Mucosa
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Skeletal_Muscle_Female
GM12878_Lymphoblastoid	Adipose_Nuclei
H9_Derived_Neuron_Cultured_Cells	Dnd41_TCell_Leukemia
4star	HepG2_Hepatocellular_Carcinoma
CD8_Memory_Primary_Cells	H1_Derived_Mesenchymal_Stem_Cells
CD3_Primary_Cells_Peripheral_UW	Brain_Mid_Frontal_Lobe
H1_Cell_Line	Fetal_Intestine_Large
Fetal_Brain_Female	HUES6_Cell_Line
Fetal_Thymus	Fetal_Placenta
Fetal_Muscle_Trunk	K562_Leukemia
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Stomach_Mucosa	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD34_Cultured_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	HUES64_Cell_Line
IMR90_Cell_Line	Brain_Anterior_Caudate
Osteoblasts	Sigmoid_Colon
Mobilized_CD34_Primary_Cells_Male	Brain_Hippocampus_Middle
Brain_Germinal_Matrix	Fetal_Stomach
iPS_18_Cell_Line	Thymus
Adipose_Nuclei	GM12878_Lymphoblastoid
CD34_Primary_Cells	Monocytes_CD14pp_RO01746
Skeletal_Muscle_Female	Mobilized_CD34_Primary_Cells_Male
Duodenum_Mucosa	Fetal_Kidney
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Brain_Cingulate_Gyrus
Monocytes_CD14pp_RO01746	Fetal_Thymus
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Brain_Inferior_Temporal_Lobe
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Skeletal_Muscle_Male	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
Fetal_Lung	ES_WA7_Cell_Line
iPS_DF_19.11_Cell_Line	iPS_15b_Cell_Line
Colon_Smooth_Muscle	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	iPS_20b_Cell_Line
iPS_15b_Cell_Line	Fetal_Muscle_Leg
Fetal_Brain_Male	H1_Cell_Line
HUES48_Cell_Line	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
HeLa_S3_Cervical_Carcinoma	Small_Intestine
Fetal_Stomach	H9_Derived_Neuron_Cultured_Cells
NHLF_Lung_Fibroblasts	Mobilized_CD34_Primary_Cells_Female
Brain_Hippocampus_Middle	Fetal_Adrenal_Gland
NH_A_Astrocytes	Peripheral_Blood_Mononuclear_Primary_Cells
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	Brain_Angular_Gyrus
Rectal_Mucosa.Donor_29	Right_Ventricle
HUES64_Cell_Line	Lung
iPS_20b_Cell_Line	HUES48_Cell_Line
Rectal_Smooth_Muscle	Fetal_Muscle_Trunk
ES_I3_Cell_Line	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
Pancreatic_Islets	CD3_Primary_Cells_Peripheral_UW
hESC_Derived_CD184pp_Endoderm_Cultured_Cells	CD3_Primary_Cells_Cord_BI
Fetal_Placenta	iPS_18_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	H9_Cell_Line
Brain_Cingulate_Gyrus	Fetal_Lung
Rectal_Mucosa.Donor_31	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Anterior_Caudate	Aorta
Right_Atrium	Left_Ventricle
Brain_Inferior_Temporal_Lobe	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Duodenum_Smooth_Muscle	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
Brain_Substantia_Nigra	CD14_Primary_Cells
Brain_Angular_Gyrus	CD8_Memory_Primary_Cells
Thymus	CD4pp_CD25__Th_Primary_Cells
Brain_Mid_Frontal_Lobe	Fetal_Brain_Female
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells	Psoas_Muscle
Stomach_Smooth_Muscle	Brain_Substantia_Nigra
Left_Ventricle	Brain_Germinal_Matrix
iPS_DF_6.9_Cell_Line	CD15_Primary_Cells
Small_Intestine	CD19_Primary_Cells_Cord_BI
H9_Cell_Line	CD56_Primary_Cells
Ovary	Pancreas
Fetal_Kidney	Gastric
Colonic_Mucosa	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells	CD4_Naive_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD34_Primary_Cells
Right_Ventricle	CD4_Memory_Primary_Cells
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	iPS_DF_6.9_Cell_Line
Sigmoid_Colon	CD19_Primary_Cells_Peripheral_UW
Psoas_Muscle	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Gastric	iPS_DF_19.11_Cell_Line
Placenta_Amnion	CD8_Naive_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Spleen
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Pancreatic_Islets
ES_WA7_Cell_Line	Adult_Liver
H1_Derived_Mesenchymal_Stem_Cells	Ovary
Pancreas	Fetal_Heart
Esophagus	4star
Spleen	Fetal_Brain_Male
Lung	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
