(New) Chromatin State	(Old) Chromatin State
Repressed_PolyComb	Repressed_PolyComb
Active_TSS	Bivalent_Enhancer
Genic_enhancers	Bivalent_Poised_TSS
Heterochromatin	Flanking_Bivalent_TSS_Enh
Strong_transcription	Weak_Repressed_PolyComb
ZNF_genes_and_repeats	Active_TSS
Enhancers	Flanking_Active_TSS
Transcr_at_gene_5_and_3	Enhancers
Weak_transcription	Transcr_at_gene_5_and_3
Flanking_Active_TSS	ZNF_genes_and_repeats
Bivalent_Poised_TSS	Genic_enhancers
Bivalent_Enhancer	Heterochromatin
Weak_Repressed_PolyComb	Weak_transcription
Flanking_Bivalent_TSS_Enh	Strong_transcription
Quiescent_Low	Quiescent_Low
