(New) Cell Type	(Old) Cell Type
HMEC_Mammary_Epithelial	HMEC_Mammary_Epithelial
Thymus	Breast_vHMEC
Fetal_Lung	Small_Intestine
Duodenum_Smooth_Muscle	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
Duodenum_Mucosa	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Brain_Inferior_Temporal_Lobe	NHEK_Epidermal_Keratinocytes
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Rectal_Mucosa.Donor_31	NH_A_Astrocytes
Brain_Angular_Gyrus	Psoas_Muscle
HUES6_Cell_Line	H1_Cell_Line
4star	Pancreatic_Islets
H1_Cell_Line	Stomach_Mucosa
Ovary	Breast_Myoepithelial_Cells
H9_Derived_Neuron_Cultured_Cells	Neurosphere_Cultured_Cells_Cortex_Derived
Brain_Cingulate_Gyrus	NHDF_Ad_Adult_Dermal_Fibroblasts
Brain_Anterior_Caudate	4star
Osteoblasts	Sigmoid_Colon
H9_Derived_Neuronal_Progenitor_Cultured_Cells	H9_Cell_Line
Rectal_Smooth_Muscle	Fetal_Kidney
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HUVEC_Umbilical_Vein_Endothelial_Cells
CD34_Primary_Cells	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	iPS_DF_6.9_Cell_Line
Brain_Substantia_Nigra	Osteoblasts
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	HUES64_Cell_Line
CD4_Naive_Primary_Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Monocytes_CD14pp_RO01746	ES_I3_Cell_Line
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	iPS_18_Cell_Line
Brain_Mid_Frontal_Lobe	iPS_15b_Cell_Line
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	Muscle_Satellite_Cultured_Cells
Brain_Germinal_Matrix	Fetal_Brain_Male
HSMM_Skeletal_Muscle_Myoblasts	HUES48_Cell_Line
Adult_Liver	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Left_Ventricle	HSMM_Skeletal_Muscle_Myoblasts
NH_A_Astrocytes	Placenta_Amnion
Brain_Hippocampus_Middle	Brain_Angular_Gyrus
HeLa_S3_Cervical_Carcinoma	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Placenta_Amnion	NHLF_Lung_Fibroblasts
Rectal_Mucosa.Donor_29	Lung
GM12878_Lymphoblastoid	CD34_Primary_Cells
Sigmoid_Colon	Mobilized_CD34_Primary_Cells_Female
NHEK_Epidermal_Keratinocytes	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
A549_EtOH_0.02pct_Lung_Carcinoma	Fetal_Intestine_Large
CD4pp_CD25__Th_Primary_Cells	Colon_Smooth_Muscle
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Fetal_Brain_Female	Fetal_Placenta
Right_Ventricle	Fetal_Adrenal_Gland
Muscle_Satellite_Cultured_Cells	H9_Derived_Neuron_Cultured_Cells
CD4_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Rectal_Smooth_Muscle
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	HUES6_Cell_Line
K562_Leukemia	Fetal_Lung
Skeletal_Muscle_Male	Duodenum_Smooth_Muscle
CD19_Primary_Cells_Cord_BI	HeLa_S3_Cervical_Carcinoma
Stomach_Smooth_Muscle	H1_BMP4_Derived_Mesendoderm_Cultured_Cells
ES_I3_Cell_Line	Right_Ventricle
Psoas_Muscle	Left_Ventricle
Skeletal_Muscle_Female	Esophagus
NHLF_Lung_Fibroblasts	Brain_Cingulate_Gyrus
CD3_Primary_Cells_Cord_BI	Rectal_Mucosa.Donor_31
Fetal_Brain_Male	Brain_Mid_Frontal_Lobe
iPS_15b_Cell_Line	Duodenum_Mucosa
iPS_20b_Cell_Line	Fetal_Muscle_Trunk
