(New) Cell Type	(Old) Cell Type
HMEC_Mammary_Epithelial	HMEC_Mammary_Epithelial
A549_EtOH_0.02pct_Lung_Carcinoma	NHEK_Epidermal_Keratinocytes
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	HUVEC_Umbilical_Vein_Endothelial_Cells
HSMM_Skeletal_Muscle_Myoblasts	NHLF_Lung_Fibroblasts
NHDF_Ad_Adult_Dermal_Fibroblasts	Osteoblasts
CD3_Primary_Cells_Cord_BI	Stomach_Mucosa
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	NH_A_Astrocytes
Fetal_Intestine_Small	Small_Intestine
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Placenta_Amnion
HUVEC_Umbilical_Vein_Endothelial_Cells	Muscle_Satellite_Cultured_Cells
Adult_Liver	NHDF_Ad_Adult_Dermal_Fibroblasts
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells	CD4_Memory_Primary_Cells
CD4_Memory_Primary_Cells	Colonic_Mucosa
Neurosphere_Cultured_Cells_Cortex_Derived	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
CD8_Memory_Primary_Cells	HeLa_S3_Cervical_Carcinoma
H9_Derived_Neuron_Cultured_Cells	CD8_Memory_Primary_Cells
Fetal_Muscle_Trunk	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
K562_Leukemia	HSMM_Skeletal_Muscle_Myoblasts
Osteoblasts	CD8_Naive_Primary_Cells
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Gastric
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
CD4_Naive_Primary_Cells	Right_Ventricle
Muscle_Satellite_Cultured_Cells	Rectal_Mucosa.Donor_29
CD8_Naive_Primary_Cells	Rectal_Mucosa.Donor_31
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	CD4_Naive_Primary_Cells
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD15_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
NHEK_Epidermal_Keratinocytes	Rectal_Smooth_Muscle
Fetal_Lung	HepG2_Hepatocellular_Carcinoma
Dnd41_TCell_Leukemia	CD4pp_CD25pp_CD127__Treg_Primary_Cells
Fetal_Adrenal_Gland	Colon_Smooth_Muscle
HepG2_Hepatocellular_Carcinoma	Peripheral_Blood_Mononuclear_Primary_Cells
GM12878_Lymphoblastoid	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
Breast_Myoepithelial_Cells	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Mobilized_CD34_Primary_Cells_Female	Pancreas
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Brain_Angular_Gyrus
CD34_Cultured_Cells	Skeletal_Muscle_Female
HUES6_Cell_Line	Brain_Mid_Frontal_Lobe
