(New) Cell Type	(Old) Cell Type
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HUES6_Cell_Line	Fetal_Adrenal_Gland
Ovary	Neurosphere_Cultured_Cells_Cortex_Derived
Fetal_Kidney	CD19_Primary_Cells_Peripheral_UW
HUES64_Cell_Line	CD34_Primary_Cells
IMR90_Cell_Line	CD4pp_CD25__Th_Primary_Cells
iPS_18_Cell_Line	HUVEC_Umbilical_Vein_Endothelial_Cells
Breast_Myoepithelial_Cells	HMEC_Mammary_Epithelial
Brain_Angular_Gyrus	Adipose_Nuclei
NHLF_Lung_Fibroblasts	CD34_Cultured_Cells
iPS_15b_Cell_Line	CD19_Primary_Cells_Cord_BI
Fetal_Stomach	CD4pp_CD25pp_CD127__Treg_Primary_Cells
HUES48_Cell_Line	Right_Atrium
Brain_Mid_Frontal_Lobe	NH_A_Astrocytes
Right_Ventricle	Rectal_Mucosa.Donor_31
H9_Derived_Neuronal_Progenitor_Cultured_Cells	Mobilized_CD34_Primary_Cells_Female
Fetal_Placenta	CD4pp_CD25__CD45RApp_Naive_Primary_Cells
Colon_Smooth_Muscle	Adult_Liver
NHDF_Ad_Adult_Dermal_Fibroblasts	Skeletal_Muscle_Female
Psoas_Muscle	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
K562_Leukemia	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Muscle_Satellite_Cultured_Cells
Fetal_Intestine_Small	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
ES_I3_Cell_Line	CD14_Primary_Cells
Rectal_Smooth_Muscle	Osteoblasts
Brain_Substantia_Nigra	Fetal_Muscle_Leg
Fetal_Muscle_Trunk	Duodenum_Mucosa
HSMM_Skeletal_Muscle_Myoblasts	Skeletal_Muscle_Male
Stomach_Mucosa	CD56_Primary_Cells
Fetal_Intestine_Large	H9_Derived_Neuron_Cultured_Cells
iPS_DF_19.11_Cell_Line	Stomach_Smooth_Muscle
Brain_Cingulate_Gyrus	Monocytes_CD14pp_RO01746
H1_Cell_Line	Dnd41_TCell_Leukemia
A549_EtOH_0.02pct_Lung_Carcinoma	CD15_Primary_Cells
Pancreatic_Islets	Fetal_Placenta
Colonic_Mucosa	Mobilized_CD34_Primary_Cells_Male
Brain_Hippocampus_Middle	NHEK_Epidermal_Keratinocytes
Fetal_Muscle_Leg	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
Duodenum_Smooth_Muscle	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells
NHEK_Epidermal_Keratinocytes	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
Thymus	CD8_Naive_Primary_Cells
Fetal_Thymus	Fetal_Thymus
Brain_Inferior_Temporal_Lobe	CD3_Primary_Cells_Peripheral_UW
Left_Ventricle	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
H1_BMP4_Derived_Trophoblast_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
ES_WA7_Cell_Line	CD4_Memory_Primary_Cells
Fetal_Adrenal_Gland	Fetal_Stomach
iPS_20b_Cell_Line	Placenta_Amnion
Breast_vHMEC	Breast_vHMEC
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Fetal_Muscle_Trunk
4star	CD3_Primary_Cells_Cord_BI
Brain_Anterior_Caudate	Small_Intestine
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	HSMM_Skeletal_Muscle_Myoblasts
HMEC_Mammary_Epithelial	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Skeletal_Muscle_Male	CD4_Naive_Primary_Cells
Peripheral_Blood_Mononuclear_Primary_Cells	Stomach_Mucosa
Esophagus	Fetal_Lung
HeLa_S3_Cervical_Carcinoma	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
Placenta_Amnion	Lung
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Sigmoid_Colon
CD8_Memory_Primary_Cells	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Aorta	IMR90_Cell_Line
Small_Intestine	Brain_Hippocampus_Middle
CD8_Naive_Primary_Cells	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
Fetal_Lung	Brain_Germinal_Matrix
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells	Psoas_Muscle
Sigmoid_Colon	H1_BMP4_Derived_Trophoblast_Cultured_Cells
CD3_Primary_Cells_Peripheral_UW	CD8_Memory_Primary_Cells
CD56_Primary_Cells	iPS_DF_19.11_Cell_Line
Right_Atrium	Left_Ventricle
Duodenum_Mucosa	Colonic_Mucosa
Adipose_Nuclei	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
