(New) Cell Type	(Old) Cell Type
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
Fetal_Stomach	Fetal_Muscle_Trunk
NHLF_Lung_Fibroblasts	Fetal_Muscle_Leg
Rectal_Smooth_Muscle	HSMM_Skeletal_Muscle_Myoblasts
Fetal_Brain_Female	Muscle_Satellite_Cultured_Cells
Mobilized_CD34_Primary_Cells_Female	Fetal_Adrenal_Gland
Colon_Smooth_Muscle	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain_Germinal_Matrix	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Neurosphere_Cultured_Cells_Cortex_Derived	HMEC_Mammary_Epithelial
Duodenum_Smooth_Muscle	NH_A_Astrocytes
Brain_Mid_Frontal_Lobe	IMR90_Cell_Line
Thymus	NHLF_Lung_Fibroblasts
Fetal_Intestine_Large	Penis_Foreskin_Melanocyte_Primary_Cells_skin03
CD4pp_CD25pp_CD127__Treg_Primary_Cells	Fetal_Stomach
Rectal_Mucosa.Donor_31	Osteoblasts
Mobilized_CD34_Primary_Cells_Male	HUVEC_Umbilical_Vein_Endothelial_Cells
A549_EtOH_0.02pct_Lung_Carcinoma	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells
Spleen	Skeletal_Muscle_Female
Fetal_Intestine_Small	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03
Psoas_Muscle	Penis_Foreskin_Fibroblast_Primary_Cells_skin01
Small_Intestine	Placenta_Amnion
Fetal_Adrenal_Gland	Left_Ventricle
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02
iPS_DF_19.11_Cell_Line	NHEK_Epidermal_Keratinocytes
HSMM_Skeletal_Muscle_Myoblasts	Psoas_Muscle
CD4pp_CD25__CD45RApp_Naive_Primary_Cells	NHDF_Ad_Adult_Dermal_Fibroblasts
Monocytes_CD14pp_RO01746	Adipose_Nuclei
Colonic_Mucosa	Esophagus
Fetal_Muscle_Leg	Duodenum_Smooth_Muscle
Fetal_Placenta	Penis_Foreskin_Melanocyte_Primary_Cells_skin01
Osteoblasts	Mobilized_CD34_Primary_Cells_Female
Fetal_Thymus	Neurosphere_Cultured_Cells_Cortex_Derived
Esophagus	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells	A549_EtOH_0.02pct_Lung_Carcinoma
Fetal_Muscle_Trunk	H1_BMP4_Derived_Trophoblast_Cultured_Cells
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Ovary
Penis_Foreskin_Melanocyte_Primary_Cells_skin03	Colon_Smooth_Muscle
Brain_Cingulate_Gyrus	Skeletal_Muscle_Male
Lung	Colonic_Mucosa
Breast_Myoepithelial_Cells	Breast_vHMEC
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Penis_Foreskin_Fibroblast_Primary_Cells_skin02
H1_Cell_Line	Mobilized_CD34_Primary_Cells_Male
CD3_Primary_Cells_Cord_BI	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells
CD4pp_CD25__Th_Primary_Cells	CD34_Cultured_Cells
Adipose_Nuclei	HUES6_Cell_Line
Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Rectal_Mucosa.Donor_31
CD3_Primary_Cells_Peripheral_UW	H9_Derived_Neuron_Cultured_Cells
CD34_Cultured_Cells	Peripheral_Blood_Mononuclear_Primary_Cells
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	Sigmoid_Colon
CD56_Primary_Cells	Right_Atrium
Peripheral_Blood_Mononuclear_Primary_Cells	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived
Brain_Hippocampus_Middle	H1_Derived_Mesenchymal_Stem_Cells
H1_Derived_Mesenchymal_Stem_Cells	Fetal_Placenta
iPS_DF_6.9_Cell_Line	Lung
Dnd41_TCell_Leukemia	Fetal_Intestine_Large
Brain_Angular_Gyrus	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells
4star	Adult_Liver
Skeletal_Muscle_Male	Brain_Hippocampus_Middle
Duodenum_Mucosa	Thymus
Stomach_Mucosa	Duodenum_Mucosa
Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Fetal_Intestine_Small
Right_Ventricle	H9_Derived_Neuronal_Progenitor_Cultured_Cells
Brain_Anterior_Caudate	Spleen
H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Stomach_Smooth_Muscle
Penis_Foreskin_Fibroblast_Primary_Cells_skin02	CD34_Primary_Cells
Skeletal_Muscle_Female	CD8_Naive_Primary_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells	CD19_Primary_Cells_Peripheral_UW
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells
CD19_Primary_Cells_Cord_BI	CD56_Primary_Cells
Pancreatic_Islets	H1_Derived_Neuronal_Progenitor_Cultured_Cells
Placenta_Amnion	Rectal_Smooth_Muscle
Brain_Inferior_Temporal_Lobe	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells
CD15_Primary_Cells	Brain_Substantia_Nigra
CD34_Primary_Cells	CD4pp_CD25__Th_Primary_Cells
Right_Atrium	HUES64_Cell_Line
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells	hESC_Derived_CD184pp_Endoderm_Cultured_Cells
